id,label
1,bird
10,dog
100,bird
1000,bird
10000,deer
100000,deer
100001,deer
100002,dog
100003,deer
100004,automobile
100005,frog
100006,truck
100007,frog
100008,airplane
100009,truck
10001,dog
100010,horse
100011,dog
100012,airplane
100013,airplane
100014,dog
100015,ship
100016,dog
100017,automobile
100018,truck
100019,dog
10002,ship
100020,dog
100021,bird
100022,ship
100023,automobile
100024,frog
100025,truck
100026,deer
100027,frog
100028,automobile
100029,cat
10003,dog
100030,dog
100031,frog
100032,bird
100033,frog
100034,airplane
100035,deer
100036,dog
100037,deer
100038,dog
100039,airplane
10004,airplane
100040,bird
100041,deer
100042,dog
100043,dog
100044,ship
100045,dog
100046,deer
100047,bird
100048,frog
100049,bird
10005,deer
100050,dog
100051,dog
100052,deer
100053,truck
100054,automobile
100055,truck
100056,bird
100057,dog
100058,frog
100059,bird
10006,horse
100060,deer
100061,ship
100062,deer
100063,airplane
100064,deer
100065,airplane
100066,airplane
100067,cat
100068,truck
100069,horse
10007,horse
100070,ship
100071,automobile
100072,bird
100073,dog
100074,frog
100075,horse
100076,automobile
100077,deer
100078,horse
100079,frog
10008,bird
100080,airplane
100081,airplane
100082,deer
100083,automobile
100084,cat
100085,frog
100086,automobile
100087,dog
100088,horse
100089,deer
10009,bird
100090,automobile
100091,deer
100092,cat
100093,dog
100094,bird
100095,airplane
100096,truck
100097,bird
100098,frog
100099,truck
1001,bird
10010,ship
100100,dog
100101,horse
100102,deer
100103,automobile
100104,airplane
100105,bird
100106,cat
100107,deer
100108,deer
100109,airplane
10011,dog
100110,bird
100111,automobile
100112,cat
100113,cat
100114,deer
100115,deer
100116,automobile
100117,airplane
100118,cat
100119,deer
10012,bird
100120,dog
100121,bird
100122,ship
100123,bird
100124,deer
100125,truck
100126,dog
100127,dog
100128,deer
100129,truck
10013,bird
100130,dog
100131,cat
100132,frog
100133,deer
100134,frog
100135,dog
100136,bird
100137,airplane
100138,frog
100139,bird
10014,bird
100140,airplane
100141,automobile
100142,dog
100143,horse
100144,ship
100145,bird
100146,automobile
100147,ship
100148,deer
100149,dog
10015,frog
100150,automobile
100151,deer
100152,deer
100153,deer
100154,truck
100155,deer
100156,ship
100157,deer
100158,dog
100159,ship
10016,deer
100160,cat
100161,cat
100162,ship
100163,horse
100164,cat
100165,frog
100166,dog
100167,automobile
100168,cat
100169,cat
10017,truck
100170,bird
100171,cat
100172,truck
100173,truck
100174,airplane
100175,ship
100176,dog
100177,deer
100178,bird
100179,automobile
10018,cat
100180,automobile
100181,truck
100182,deer
100183,deer
100184,dog
100185,deer
100186,bird
100187,airplane
100188,airplane
100189,ship
10019,automobile
100190,deer
100191,dog
100192,airplane
100193,bird
100194,frog
100195,frog
100196,dog
100197,dog
100198,dog
100199,deer
1002,airplane
10020,deer
100200,dog
100201,ship
100202,deer
100203,deer
100204,cat
100205,bird
100206,cat
100207,bird
100208,truck
100209,deer
10021,bird
100210,cat
100211,bird
100212,airplane
100213,bird
100214,dog
100215,frog
100216,truck
100217,truck
100218,dog
100219,ship
10022,airplane
100220,bird
100221,deer
100222,truck
100223,automobile
100224,truck
100225,deer
100226,frog
100227,dog
100228,dog
100229,dog
10023,airplane
100230,cat
100231,cat
100232,deer
100233,bird
100234,airplane
100235,dog
100236,bird
100237,truck
100238,deer
100239,deer
10024,cat
100240,airplane
100241,ship
100242,ship
100243,truck
100244,frog
100245,bird
100246,cat
100247,frog
100248,truck
100249,deer
10025,deer
100250,bird
100251,cat
100252,airplane
100253,cat
100254,truck
100255,ship
100256,airplane
100257,airplane
100258,frog
100259,bird
10026,truck
100260,bird
100261,dog
100262,truck
100263,automobile
100264,airplane
100265,dog
100266,ship
100267,airplane
100268,truck
100269,bird
10027,ship
100270,frog
100271,dog
100272,airplane
100273,deer
100274,truck
100275,automobile
100276,bird
100277,frog
100278,cat
100279,dog
10028,horse
100280,frog
100281,truck
100282,bird
100283,deer
100284,dog
100285,truck
100286,ship
100287,airplane
100288,cat
100289,bird
10029,horse
100290,cat
100291,truck
100292,truck
100293,airplane
100294,ship
100295,deer
100296,bird
100297,cat
100298,deer
100299,ship
1003,bird
10030,deer
100300,cat
100301,frog
100302,bird
100303,dog
100304,horse
100305,automobile
100306,dog
100307,ship
100308,frog
100309,truck
10031,cat
100310,bird
100311,frog
100312,deer
100313,airplane
100314,automobile
100315,truck
100316,frog
100317,deer
100318,truck
100319,cat
10032,automobile
100320,deer
100321,dog
100322,frog
100323,horse
100324,horse
100325,deer
100326,deer
100327,frog
100328,bird
100329,dog
10033,truck
100330,automobile
100331,dog
100332,airplane
100333,deer
100334,automobile
100335,automobile
100336,ship
100337,bird
100338,cat
100339,frog
10034,ship
100340,frog
100341,deer
100342,deer
100343,dog
100344,automobile
100345,bird
100346,bird
100347,frog
100348,bird
100349,deer
10035,dog
100350,deer
100351,frog
100352,deer
100353,frog
100354,deer
100355,airplane
100356,truck
100357,frog
100358,airplane
100359,ship
10036,bird
100360,truck
100361,truck
100362,deer
100363,horse
100364,deer
100365,horse
100366,horse
100367,bird
100368,horse
100369,airplane
10037,airplane
100370,dog
100371,truck
100372,frog
100373,ship
100374,cat
100375,bird
100376,automobile
100377,bird
100378,deer
100379,ship
10038,deer
100380,cat
100381,horse
100382,deer
100383,deer
100384,horse
100385,truck
100386,truck
100387,automobile
100388,automobile
100389,horse
10039,horse
100390,bird
100391,frog
100392,frog
100393,bird
100394,airplane
100395,deer
100396,airplane
100397,ship
100398,truck
100399,deer
1004,airplane
10040,frog
100400,airplane
100401,airplane
100402,truck
100403,frog
100404,deer
100405,ship
100406,bird
100407,bird
100408,deer
100409,dog
10041,deer
100410,frog
100411,truck
100412,dog
100413,dog
100414,bird
100415,bird
100416,truck
100417,ship
100418,automobile
100419,bird
10042,deer
100420,truck
100421,horse
100422,dog
100423,bird
100424,cat
100425,frog
100426,deer
100427,deer
100428,automobile
100429,bird
10043,ship
100430,cat
100431,cat
100432,automobile
100433,truck
100434,cat
100435,bird
100436,deer
100437,ship
100438,ship
100439,deer
10044,bird
100440,truck
100441,deer
100442,dog
100443,deer
100444,horse
100445,automobile
100446,ship
100447,bird
100448,airplane
100449,truck
10045,automobile
100450,horse
100451,frog
100452,deer
100453,bird
100454,deer
100455,airplane
100456,deer
100457,truck
100458,bird
100459,bird
10046,bird
100460,airplane
100461,dog
100462,deer
100463,dog
100464,truck
100465,deer
100466,bird
100467,deer
100468,dog
100469,bird
10047,deer
100470,bird
100471,ship
100472,truck
100473,bird
100474,horse
100475,deer
100476,dog
100477,bird
100478,automobile
100479,dog
10048,frog
100480,bird
100481,truck
100482,cat
100483,horse
100484,automobile
100485,frog
