id,label
1,deer
10,cat
100,deer
1000,deer
10000,frog
100000,frog
100001,deer
100002,cat
100003,frog
100004,automobile
100005,frog
100006,truck
100007,frog
100008,airplane
100009,truck
10001,dog
100010,horse
100011,dog
100012,ship
100013,airplane
100014,cat
100015,bird
100016,dog
100017,automobile
100018,truck
100019,cat
10002,ship
100020,frog
100021,bird
100022,ship
100023,automobile
100024,frog
100025,truck
100026,deer
100027,frog
100028,automobile
100029,cat
10003,dog
100030,dog
100031,frog
100032,frog
100033,frog
100034,airplane
100035,deer
100036,cat
100037,deer
100038,cat
100039,bird
10004,airplane
100040,airplane
100041,airplane
100042,dog
100043,dog
100044,ship
100045,dog
100046,frog
100047,cat
100048,frog
100049,frog
10005,frog
100050,cat
100051,cat
100052,bird
100053,truck
100054,automobile
100055,truck
100056,frog
100057,cat
100058,frog
100059,bird
10006,horse
100060,deer
100061,ship
100062,cat
100063,ship
100064,deer
100065,airplane
100066,automobile
100067,cat
100068,ship
100069,horse
10007,horse
100070,ship
100071,automobile
100072,airplane
100073,cat
100074,frog
100075,deer
100076,automobile
100077,deer
100078,dog
100079,frog
10008,airplane
100080,ship
100081,airplane
100082,frog
100083,automobile
100084,cat
100085,frog
100086,automobile
100087,dog
100088,horse
100089,frog
10009,dog
100090,automobile
100091,deer
100092,cat
100093,cat
100094,frog
100095,ship
100096,truck
100097,cat
100098,frog
100099,truck
1001,cat
10010,ship
100100,cat
100101,horse
100102,frog
100103,automobile
100104,airplane
100105,cat
100106,cat
100107,deer
100108,frog
100109,horse
10011,dog
100110,airplane
100111,automobile
100112,cat
100113,cat
100114,cat
100115,cat
100116,automobile
100117,airplane
100118,cat
100119,deer
10012,airplane
100120,cat
100121,bird
100122,ship
100123,bird
100124,deer
100125,automobile
100126,cat
100127,cat
100128,deer
100129,truck
10013,bird
100130,frog
100131,cat
100132,frog
100133,frog
100134,cat
100135,cat
100136,cat
100137,airplane
100138,frog
100139,cat
10014,frog
100140,airplane
100141,automobile
100142,dog
100143,deer
100144,ship
100145,bird
100146,automobile
100147,ship
100148,deer
100149,deer
10015,frog
100150,automobile
100151,frog
100152,deer
100153,deer
100154,truck
100155,deer
100156,ship
100157,deer
100158,cat
100159,cat
10016,frog
100160,cat
100161,frog
100162,ship
100163,horse
100164,frog
100165,frog
100166,dog
100167,automobile
100168,frog
100169,automobile
10017,airplane
100170,frog
100171,cat
100172,truck
100173,truck
100174,airplane
100175,ship
100176,cat
100177,deer
100178,frog
100179,ship
10018,cat
100180,truck
100181,automobile
100182,deer
100183,deer
100184,frog
100185,deer
100186,frog
100187,airplane
100188,airplane
100189,ship
10019,automobile
100190,cat
100191,frog
100192,frog
100193,bird
100194,frog
100195,frog
100196,cat
100197,cat
100198,dog
100199,frog
1002,ship
10020,deer
100200,dog
100201,ship
100202,bird
100203,frog
100204,deer
100205,frog
100206,cat
100207,cat
100208,truck
100209,bird
10021,ship
100210,cat
100211,dog
100212,airplane
100213,bird
100214,frog
100215,frog
100216,airplane
100217,truck
100218,dog
100219,ship
10022,airplane
100220,bird
100221,deer
100222,automobile
100223,automobile
100224,truck
100225,deer
100226,frog
100227,cat
100228,dog
100229,automobile
10023,airplane
100230,dog
100231,frog
100232,frog
100233,frog
100234,airplane
100235,cat
100236,cat
100237,truck
100238,deer
100239,deer
10024,cat
100240,frog
100241,airplane
100242,ship
100243,truck
100244,frog
100245,cat
100246,cat
100247,frog
100248,truck
100249,bird
10025,frog
100250,airplane
100251,frog
100252,frog
100253,horse
100254,automobile
100255,airplane
100256,airplane
100257,airplane
100258,frog
100259,dog
10026,frog
100260,frog
100261,cat
100262,truck
100263,automobile
100264,airplane
100265,deer
100266,ship
100267,airplane
100268,truck
100269,bird
10027,ship
100270,frog
100271,frog
100272,bird
100273,deer
100274,truck
100275,automobile
100276,deer
100277,frog
100278,ship
100279,dog
10028,horse
100280,frog
100281,truck
100282,bird
100283,deer
100284,cat
100285,automobile
100286,ship
100287,airplane
100288,automobile
100289,bird
10029,deer
100290,frog
100291,truck
100292,truck
100293,airplane
100294,ship
100295,deer
100296,cat
100297,cat
100298,deer
100299,ship
1003,bird
10030,frog
100300,frog
100301,frog
100302,deer
100303,bird
100304,deer
100305,automobile
100306,dog
100307,ship
100308,frog
100309,truck
10031,cat
100310,deer
100311,frog
100312,deer
100313,automobile
100314,automobile
100315,truck
100316,frog
100317,deer
100318,truck
100319,cat
10032,frog
100320,deer
100321,dog
100322,frog
100323,airplane
100324,deer
100325,deer
100326,frog
100327,frog
100328,frog
100329,cat
10033,truck
100330,ship
100331,dog
100332,airplane
100333,frog
100334,truck
100335,automobile
100336,ship
100337,bird
100338,cat
100339,frog
10034,ship
100340,frog
100341,deer
100342,deer
100343,dog
100344,automobile
100345,bird
100346,bird
100347,frog
100348,frog
100349,frog
10035,cat
100350,deer
100351,frog
100352,deer
100353,frog
100354,deer
100355,airplane
100356,truck
100357,frog
100358,airplane
100359,ship
10036,frog
100360,truck
