id,label
1,truck
10,cat
100,bird
1000,deer
10000,frog
100000,deer
100001,deer
100002,airplane
100003,dog
100004,automobile
100005,cat
100006,ship
100007,frog
100008,airplane
100009,truck
10001,cat
100010,horse
100011,horse
100012,airplane
100013,airplane
100014,cat
100015,airplane
100016,deer
100017,automobile
100018,truck
100019,dog
10002,ship
100020,cat
100021,horse
100022,ship
100023,automobile
100024,frog
100025,truck
100026,horse
100027,frog
100028,automobile
100029,cat
10003,dog
100030,dog
100031,bird
100032,bird
100033,frog
100034,airplane
100035,deer
100036,cat
100037,deer
100038,cat
100039,bird
10004,airplane
100040,airplane
100041,deer
100042,dog
100043,dog
100044,ship
100045,dog
100046,deer
100047,cat
100048,frog
100049,cat
10005,bird
100050,cat
100051,dog
100052,deer
100053,truck
100054,automobile
100055,truck
100056,bird
100057,cat
100058,frog
100059,bird
10006,horse
100060,deer
100061,ship
100062,ship
100063,ship
100064,deer
100065,airplane
100066,ship
100067,cat
100068,ship
100069,horse
10007,horse
100070,ship
100071,automobile
100072,bird
100073,dog
100074,frog
100075,horse
100076,automobile
100077,horse
100078,dog
100079,frog
10008,bird
100080,dog
100081,airplane
100082,bird
100083,automobile
100084,cat
100085,frog
100086,automobile
100087,cat
100088,horse
100089,deer
10009,cat
100090,automobile
100091,deer
100092,cat
100093,cat
100094,bird
100095,ship
100096,cat
100097,cat
100098,frog
100099,truck
1001,cat
10010,ship
100100,dog
100101,horse
100102,airplane
100103,automobile
100104,airplane
100105,frog
100106,cat
100107,airplane
100108,cat
100109,airplane
10011,dog
100110,bird
100111,automobile
100112,cat
100113,cat
100114,dog
100115,dog
100116,truck
100117,bird
100118,cat
100119,deer
10012,cat
100120,cat
100121,bird
100122,ship
100123,bird
100124,deer
100125,truck
100126,bird
100127,dog
100128,deer
100129,airplane
10013,bird
100130,dog
100131,airplane
100132,horse
100133,deer
100134,cat
100135,dog
100136,bird
100137,airplane
100138,frog
100139,bird
10014,bird
100140,airplane
100141,automobile
100142,dog
100143,deer
100144,ship
100145,bird
100146,ship
100147,ship
100148,deer
100149,dog
10015,ship
100150,automobile
100151,cat
100152,deer
100153,cat
100154,bird
100155,deer
100156,airplane
100157,horse
100158,horse
100159,cat
10016,deer
100160,airplane
100161,cat
100162,truck
100163,deer
100164,cat
100165,cat
100166,dog
100167,automobile
100168,cat
100169,automobile
10017,truck
100170,ship
100171,cat
100172,truck
100173,truck
100174,airplane
100175,ship
100176,dog
100177,deer
100178,horse
100179,truck
10018,cat
100180,truck
100181,airplane
100182,deer
100183,deer
100184,cat
100185,deer
100186,cat
100187,airplane
100188,airplane
100189,ship
10019,automobile
100190,cat
100191,horse
100192,airplane
100193,bird
100194,frog
100195,frog
100196,cat
100197,dog
100198,dog
100199,bird
1002,bird
10020,deer
100200,dog
100201,ship
100202,deer
100203,deer
100204,deer
100205,frog
100206,horse
100207,bird
100208,airplane
100209,bird
10021,airplane
100210,dog
100211,cat
100212,airplane
100213,bird
100214,deer
100215,frog
100216,truck
100217,truck
100218,deer
100219,ship
10022,cat
100220,bird
100221,deer
100222,airplane
100223,automobile
100224,horse
100225,deer
100226,frog
100227,frog
100228,dog
100229,automobile
10023,airplane
100230,dog
100231,cat
100232,deer
100233,ship
100234,airplane
100235,dog
100236,truck
100237,truck
100238,deer
100239,deer
10024,dog
100240,ship
100241,airplane
100242,airplane
100243,truck
100244,frog
100245,bird
100246,bird
100247,dog
100248,ship
100249,cat
10025,frog
100250,bird
100251,frog
100252,truck
100253,dog
100254,automobile
100255,ship
100256,airplane
100257,airplane
100258,frog
100259,bird
10026,cat
100260,bird
100261,cat
100262,automobile
100263,automobile
100264,bird
100265,dog
100266,ship
100267,airplane
100268,truck
100269,bird
10027,ship
100270,frog
100271,ship
100272,airplane
100273,deer
100274,truck
100275,ship
100276,deer
100277,frog
100278,cat
100279,cat
10028,horse
100280,frog
100281,truck
100282,airplane
100283,deer
100284,dog
100285,automobile
100286,ship
100287,automobile
100288,deer
100289,deer
10029,cat
100290,truck
100291,truck
100292,truck
100293,airplane
100294,ship
100295,deer
100296,bird
100297,cat
100298,bird
100299,airplane
1003,bird
10030,deer
100300,deer
100301,frog
100302,deer
100303,dog
100304,deer
100305,automobile
100306,dog
100307,ship
100308,frog
100309,truck
10031,cat
100310,deer
100311,frog
100312,deer
100313,airplane
100314,automobile
100315,truck
100316,deer
100317,bird
100318,automobile
100319,dog
10032,ship
100320,deer
100321,dog
100322,cat
100323,bird
100324,horse
100325,cat
100326,deer
100327,cat
100328,dog
100329,cat
10033,cat
100330,ship
100331,dog
100332,airplane
100333,deer
100334,automobile
100335,automobile
100336,ship
100337,bird
100338,cat
100339,dog
10034,truck
100340,frog
100341,deer
100342,deer
100343,dog
100344,automobile
100345,cat
100346,bird
100347,frog
100348,cat
100349,bird
10035,cat
100350,deer
100351,frog
100352,deer
100353,bird
100354,bird
100355,airplane
100356,truck
100357,frog
100358,airplane
100359,ship
10036,deer
100360,truck
100361,truck
100362,deer
100363,horse
100364,bird
100365,horse
100366,horse
100367,airplane
100368,horse
100369,airplane
10037,airplane
100370,dog
100371,automobile
100372,bird
100373,ship
100374,cat
100375,airplane
100376,automobile
100377,deer
100378,frog
100379,ship
10038,deer
100380,cat
100381,horse
100382,deer
100383,deer
100384,horse
100385,truck
100386,truck
100387,automobile
100388,automobile
100389,horse
10039,horse
100390,bird
100391,cat
100392,frog
100393,dog
100394,airplane
100395,deer
100396,ship
100397,ship
100398,automobile
100399,deer
1004,ship
10040,frog
100400,airplane
100401,airplane
100402,frog
100403,frog
100404,deer
100405,ship
100406,airplane
100407,deer
100408,horse
100409,cat
10041,deer
100410,frog
100411,truck
100412,bird
100413,dog
100414,bird
100415,cat
100416,truck
100417,ship
100418,automobile
100419,bird
10042,cat
100420,truck
100421,dog
100422,dog
100423,bird
100424,cat
100425,frog
100426,bird
100427,airplane
100428,automobile
100429,airplane
10043,ship
100430,cat
100431,cat
100432,truck
100433,truck
100434,ship
100435,bird
100436,deer
100437,ship
100438,ship
100439,deer
10044,bird
100440,ship
100441,deer
100442,dog
100443,cat
100444,deer
100445,automobile
100446,ship
100447,deer
100448,airplane
100449,truck
10045,automobile
100450,horse
100451,bird
100452,frog
100453,airplane
100454,cat
100455,airplane
100456,deer
100457,airplane
100458,deer
100459,bird
10046,deer
100460,airplane
100461,dog
100462,deer
100463,cat
100464,horse
100465,dog
100466,deer
100467,horse
100468,bird
100469,horse
10047,airplane
100470,bird
100471,ship
100472,truck
100473,bird
100474,horse
100475,cat
100476,dog
100477,deer
100478,ship
100479,dog
10048,frog
100480,dog
100481,airplane
100482,cat
100483,truck
100484,automobile
100485,cat
100486,horse
100487,bird
100488,frog
100489,bird
10049,truck
100490,automobile
100491,cat
100492,cat
100493,bird
100494,bird
100495,dog
100496,deer
100497,dog
100498,cat
100499,frog
1005,cat
10050,automobile
100500,airplane
100501,ship
100502,automobile
100503,bird
100504,bird
100505,cat
100506,airplane
100507,cat
100508,airplane
100509,airplane
10051,dog
100510,cat
100511,cat
100512,cat
100513,cat
100514,frog
100515,airplane
100516,bird
100517,cat
100518,frog
100519,ship
10052,dog
100520,bird
100521,truck
100522,cat
100523,bird
100524,truck
100525,airplane
100526,bird
100527,deer
100528,dog
100529,horse
10053,airplane
100530,frog
100531,automobile
100532,ship
100533,cat
100534,frog
100535,truck
100536,dog
100537,airplane
100538,ship
100539,bird
10054,airplane
100540,bird
100541,cat
100542,dog
100543,ship
100544,bird
100545,dog
100546,automobile
100547,airplane
100548,cat
100549,cat
10055,bird
100550,cat
100551,deer
100552,dog
100553,horse
100554,frog
100555,deer
100556,dog
100557,ship
100558,horse
100559,automobile
10056,ship
100560,frog
100561,automobile
100562,dog
100563,horse
100564,truck
100565,bird
100566,bird
100567,ship
100568,ship
100569,deer
10057,horse
100570,cat
100571,automobile
100572,dog
100573,frog
100574,automobile
100575,airplane
100576,cat
100577,ship
100578,frog
100579,cat
10058,airplane
100580,dog
100581,horse
100582,airplane
100583,deer
100584,ship
100585,dog
100586,frog
100587,airplane
100588,automobile
100589,ship
10059,airplane
100590,bird
100591,airplane
100592,automobile
100593,automobile
100594,airplane
100595,cat
100596,airplane
100597,bird
100598,bird
100599,cat
1006,dog
10060,horse
100600,horse
100601,deer
100602,bird
100603,horse
100604,ship
100605,ship
100606,cat
100607,frog
100608,ship
100609,airplane
10061,automobile
100610,dog
