id,label
1,deer
10,dog
100,deer
1000,deer
10000,frog
100000,deer
100001,deer
100002,deer
100003,frog
100004,automobile
100005,frog
100006,automobile
100007,frog
100008,airplane
100009,truck
10001,dog
100010,horse
100011,horse
100012,truck
100013,airplane
100014,cat
100015,bird
100016,deer
100017,automobile
100018,truck
100019,cat
10002,ship
100020,dog
100021,cat
100022,ship
100023,automobile
100024,frog
100025,truck
100026,deer
100027,frog
100028,automobile
100029,cat
10003,dog
100030,dog
100031,frog
100032,bird
100033,frog
100034,airplane
100035,deer
100036,cat
100037,deer
100038,cat
100039,bird
10004,ship
100040,horse
100041,airplane
100042,dog
100043,dog
100044,ship
100045,dog
100046,deer
100047,cat
100048,frog
100049,bird
10005,deer
100050,cat
100051,dog
100052,deer
100053,truck
100054,automobile
100055,truck
100056,frog
100057,frog
100058,frog
100059,bird
10006,horse
100060,deer
100061,ship
100062,cat
100063,ship
100064,deer
100065,airplane
100066,ship
100067,cat
100068,automobile
100069,dog
10007,horse
100070,ship
100071,automobile
100072,bird
100073,bird
100074,frog
100075,deer
100076,automobile
100077,cat
100078,bird
100079,frog
10008,bird
100080,horse
100081,airplane
100082,deer
100083,automobile
100084,cat
100085,frog
100086,automobile
100087,dog
100088,horse
100089,frog
10009,deer
100090,automobile
100091,cat
100092,cat
100093,dog
100094,bird
100095,ship
100096,cat
100097,cat
100098,frog
100099,truck
1001,bird
10010,ship
100100,dog
100101,horse
100102,ship
100103,automobile
100104,ship
100105,dog
100106,cat
100107,cat
100108,deer
100109,deer
10011,dog
100110,bird
100111,automobile
100112,cat
100113,bird
100114,deer
100115,deer
100116,automobile
100117,airplane
100118,frog
100119,deer
10012,ship
100120,dog
100121,bird
100122,ship
100123,bird
100124,deer
100125,truck
100126,bird
100127,dog
100128,deer
100129,truck
10013,bird
100130,frog
100131,truck
100132,frog
100133,deer
100134,frog
100135,dog
100136,bird
100137,airplane
100138,frog
100139,bird
10014,bird
100140,airplane
100141,automobile
100142,dog
100143,cat
100144,ship
100145,deer
100146,automobile
100147,ship
100148,frog
100149,dog
10015,frog
100150,automobile
100151,deer
100152,deer
100153,deer
100154,truck
100155,deer
100156,ship
100157,deer
100158,deer
100159,ship
10016,frog
100160,cat
100161,cat
100162,ship
100163,deer
100164,frog
100165,frog
100166,dog
100167,automobile
100168,frog
100169,cat
10017,truck
100170,frog
100171,cat
100172,truck
100173,truck
100174,airplane
100175,ship
100176,dog
100177,deer
100178,bird
100179,automobile
10018,cat
100180,automobile
100181,ship
100182,deer
100183,deer
100184,frog
100185,deer
100186,cat
100187,airplane
100188,deer
100189,ship
10019,automobile
100190,deer
100191,cat
100192,ship
100193,ship
100194,frog
100195,frog
100196,cat
100197,dog
100198,deer
100199,frog
1002,airplane
10020,deer
100200,dog
100201,ship
100202,deer
100203,frog
100204,cat
100205,bird
100206,dog
100207,cat
100208,horse
100209,deer
10021,bird
100210,dog
100211,frog
100212,airplane
100213,bird
100214,cat
100215,frog
100216,truck
100217,truck
100218,deer
100219,ship
10022,airplane
100220,frog
100221,frog
100222,dog
100223,automobile
100224,truck
100225,deer
100226,frog
100227,dog
100228,dog
100229,dog
10023,airplane
100230,cat
100231,cat
100232,frog
100233,bird
100234,airplane
100235,dog
100236,truck
100237,truck
100238,deer
100239,deer
10024,dog
100240,airplane
100241,ship
100242,ship
100243,truck
100244,frog
100245,bird
100246,cat
100247,frog
100248,truck
100249,deer
10025,deer
100250,cat
100251,frog
100252,airplane
100253,dog
100254,truck
100255,ship
100256,airplane
100257,airplane
100258,frog
100259,bird
10026,truck
100260,bird
100261,cat
100262,automobile
100263,automobile
100264,bird
100265,cat
100266,ship
100267,airplane
100268,truck
100269,bird
10027,ship
100270,frog
100271,ship
100272,ship
100273,deer
100274,truck
100275,automobile
100276,deer
100277,frog
100278,ship
100279,dog
10028,horse
100280,frog
100281,truck
100282,deer
100283,deer
100284,dog
100285,automobile
100286,ship
100287,airplane
100288,deer
100289,bird
10029,deer
100290,cat
100291,truck
100292,truck
100293,airplane
100294,ship
100295,deer
100296,dog
100297,cat
100298,deer
100299,ship
1003,bird
10030,deer
100300,deer
100301,frog
100302,deer
100303,cat
100304,horse
100305,ship
100306,dog
100307,ship
100308,frog
100309,truck
10031,cat
100310,deer
100311,frog
100312,deer
100313,cat
100314,automobile
100315,truck
100316,frog
100317,deer
100318,automobile
100319,cat
10032,frog
100320,deer
100321,dog
100322,frog
100323,horse
100324,deer
100325,deer
100326,bird
100327,frog
100328,frog
100329,frog
10033,automobile
100330,automobile
100331,dog
100332,truck
100333,frog
100334,automobile
100335,automobile
100336,ship
100337,deer
100338,cat
100339,frog
10034,ship
100340,frog
100341,deer
100342,deer
100343,dog
100344,automobile
100345,bird
100346,bird
100347,frog
100348,bird
100349,cat
10035,cat
100350,deer
100351,frog
100352,deer
100353,frog
100354,deer
100355,airplane
100356,truck
100357,frog
100358,airplane
100359,ship
10036,bird
100360,truck
100361,truck
100362,deer
100363,horse
100364,deer
100365,horse
100366,horse
100367,bird
100368,horse
100369,airplane
10037,airplane
100370,horse
100371,automobile
100372,frog
100373,ship
100374,cat
100375,horse
100376,automobile
100377,cat
100378,deer
100379,automobile
10038,deer
100380,cat
100381,deer
100382,deer
100383,bird
100384,horse
100385,truck
100386,truck
100387,automobile
100388,automobile
100389,deer
10039,horse
100390,deer
100391,bird
100392,frog
100393,deer
100394,airplane
100395,deer
100396,airplane
100397,ship
100398,truck
100399,frog
1004,airplane
10040,frog
100400,airplane
100401,ship
100402,bird
100403,frog
100404,deer
100405,ship
100406,bird
100407,deer
100408,horse
100409,dog
10041,deer
100410,frog
100411,truck
100412,bird
100413,horse
100414,bird
100415,deer
100416,truck
100417,ship
100418,frog
100419,bird
10042,deer
100420,truck
100421,horse
100422,cat
100423,deer
100424,cat
100425,frog
100426,deer
100427,deer
100428,automobile
100429,ship
10043,airplane
100430,cat
100431,cat
100432,truck
100433,truck
100434,cat
100435,bird
100436,deer
100437,ship
100438,ship
100439,deer
10044,bird
100440,truck
100441,deer
100442,dog
100443,cat
100444,deer
100445,automobile
100446,ship
100447,bird
100448,airplane
100449,truck
10045,automobile
100450,horse
100451,frog
100452,frog
100453,bird
100454,cat
100455,airplane
100456,frog
100457,truck
100458,deer
100459,bird
10046,deer
100460,ship
100461,dog
100462,deer
100463,dog
100464,truck
100465,cat
100466,bird
100467,horse
100468,cat
100469,cat
10047,deer
100470,bird
100471,ship
100472,truck
100473,airplane
100474,horse
100475,deer
100476,cat
100477,frog
100478,automobile
100479,cat
10048,frog
100480,horse
100481,airplane
100482,dog
100483,horse
100484,automobile
100485,frog
100486,horse
100487,bird
100488,frog
100489,cat
10049,ship
100490,automobile
100491,frog
100492,frog
100493,deer
100494,bird
100495,deer
100496,ship
100497,deer
100498,cat
100499,frog
1005,cat
10050,truck
100500,airplane
100501,deer
100502,truck
100503,bird
100504,cat
100505,cat
100506,automobile
100507,frog
100508,airplane
100509,cat
10051,dog
100510,ship
100511,dog
100512,bird
100513,frog
100514,frog
100515,airplane
100516,deer
100517,frog
100518,frog
100519,ship
10052,dog
100520,deer
100521,truck
100522,frog
100523,bird
100524,airplane
100525,frog
100526,frog
100527,deer
100528,cat
100529,horse
10053,airplane
100530,cat
100531,ship
100532,ship
100533,bird
100534,frog
100535,automobile
100536,dog
100537,ship
100538,ship
100539,bird
10054,airplane
100540,ship
100541,cat
100542,dog
100543,airplane
100544,frog
100545,dog
100546,automobile
100547,deer
100548,cat
100549,cat
10055,frog
100550,dog
100551,deer
100552,cat
100553,horse
100554,deer
100555,frog
100556,deer
100557,airplane
100558,horse
100559,dog
10056,ship
100560,frog
100561,automobile
100562,bird
100563,horse
100564,truck
100565,bird
100566,cat
100567,frog
100568,ship
100569,deer
10057,deer
100570,bird
100571,automobile
100572,ship
100573,frog
100574,automobile
100575,deer
100576,cat
100577,frog
100578,frog
100579,cat
10058,airplane
100580,bird
100581,horse
100582,horse
100583,deer
100584,ship
100585,dog
100586,frog
100587,airplane
100588,frog
100589,ship
10059,ship
100590,frog
100591,deer
100592,automobile
100593,automobile
100594,deer
100595,frog
100596,deer
100597,deer
100598,bird
100599,deer
1006,cat
10060,horse
100600,horse
100601,deer
100602,deer
100603,horse
100604,airplane
100605,ship
100606,horse
100607,frog
100608,ship
100609,bird
10061,automobile
100610,dog
100611,frog
100612,deer
100613,deer
100614,automobile
100615,cat
100616,deer
100617,automobile
100618,truck
100619,frog
10062,automobile
100620,deer
100621,bird
100622,truck
100623,bird
100624,truck
100625,automobile
100626,dog
100627,deer
100628,cat
100629,ship
10063,frog
100630,horse
100631,deer
100632,bird
100633,horse
100634,automobile
100635,dog
100636,ship
100637,truck
100638,horse
100639,cat
10064,cat
100640,truck
100641,deer
100642,cat
100643,cat
100644,airplane
100645,cat
100646,deer
100647,dog
100648,bird
100649,ship
10065,ship
100650,ship
100651,cat
100652,ship
100653,deer
100654,dog
100655,dog
100656,airplane
100657,deer
100658,dog
100659,bird
10066,cat
100660,deer
100661,deer
100662,ship
100663,bird
100664,frog
100665,bird
100666,cat
100667,cat
100668,bird
100669,cat
10067,airplane
100670,ship
100671,dog
100672,deer
100673,horse
100674,deer
100675,frog
100676,horse
100677,frog
100678,bird
100679,dog
10068,dog
100680,bird
100681,cat
100682,deer
100683,frog
100684,frog
100685,automobile
100686,automobile
100687,frog
100688,deer
100689,ship
10069,automobile
100690,frog
100691,horse
100692,cat
100693,cat
100694,cat
100695,frog
100696,frog
100697,ship
100698,cat
100699,frog
1007,ship
10070,frog
100700,cat
100701,cat
100702,airplane
100703,cat
100704,airplane
100705,cat
100706,dog
100707,cat
100708,deer
100709,horse
10071,deer
100710,cat
100711,automobile
100712,cat
100713,bird
100714,frog
100715,bird
100716,dog
100717,truck
100718,deer
100719,frog
10072,ship
100720,airplane
100721,ship
100722,ship
100723,frog
100724,dog
100725,frog
100726,dog
100727,automobile
100728,frog
100729,deer
10073,dog
100730,airplane
100731,dog
100732,frog
100733,dog
100734,automobile
100735,frog
100736,cat
100737,deer
100738,cat
100739,automobile
10074,deer
100740,cat
100741,dog
100742,deer
100743,airplane
100744,frog
100745,ship
100746,bird
100747,truck
100748,automobile
100749,frog
10075,dog
100750,cat
100751,ship
100752,dog
100753,airplane
100754,cat
100755,automobile
100756,dog
100757,horse
100758,cat
100759,cat
10076,deer
100760,bird
100761,frog
100762,deer
100763,airplane
100764,cat
100765,dog
100766,automobile
100767,truck
100768,deer
100769,deer
10077,cat
100770,cat
100771,ship
100772,deer
100773,cat
100774,deer
100775,dog
100776,bird
100777,bird
100778,truck
100779,ship
10078,deer
100780,deer
100781,dog
100782,deer
100783,deer
100784,deer
100785,dog
100786,deer
100787,bird
100788,frog
100789,horse
10079,dog
100790,bird
100791,bird
100792,frog
100793,automobile
100794,truck
100795,deer
100796,ship
100797,cat
100798,deer
100799,dog
1008,automobile
10080,automobile
100800,ship
100801,frog
100802,frog
100803,deer
100804,bird
100805,bird
100806,horse
100807,frog
100808,deer
100809,frog
10081,automobile
100810,dog
100811,cat
100812,airplane
100813,bird
100814,frog
100815,bird
100816,dog
100817,bird
100818,automobile
100819,deer
10082,deer
100820,cat
100821,airplane
100822,automobile
100823,bird
100824,deer
100825,dog
100826,frog
100827,cat
100828,dog
100829,dog
10083,horse
100830,deer
100831,frog
100832,frog
100833,cat
100834,deer
100835,dog
100836,ship
100837,frog
100838,airplane
100839,ship
10084,dog
100840,truck
100841,deer
100842,bird
100843,horse
100844,dog
100845,airplane
100846,truck
100847,frog
100848,frog
100849,bird
10085,ship
100850,frog
100851,bird
100852,bird
100853,dog
100854,truck
100855,frog
100856,dog
100857,dog
100858,ship
100859,cat
10086,ship
100860,dog
100861,airplane
100862,deer
100863,frog
100864,cat
100865,cat
100866,airplane
100867,frog
100868,horse
100869,frog
10087,ship
100870,automobile
100871,horse
100872,deer
100873,bird
100874,airplane
100875,dog
100876,cat
100877,automobile
100878,cat
100879,truck
10088,frog
100880,airplane
100881,cat
100882,automobile
100883,truck
100884,frog
100885,cat
100886,deer
100887,cat
100888,ship
100889,automobile
10089,ship
100890,deer
100891,cat
100892,deer
100893,automobile
100894,frog
100895,cat
100896,frog
100897,ship
100898,bird
100899,truck
1009,automobile
10090,frog
100900,ship
100901,cat
100902,dog
100903,deer
100904,deer
100905,frog
100906,deer
100907,truck
100908,deer
100909,bird
10091,deer
100910,airplane
100911,frog
100912,bird
100913,ship
100914,cat
100915,bird
100916,cat
100917,truck
100918,bird
100919,dog
10092,deer
100920,horse
100921,horse
100922,deer
100923,bird
100924,bird
100925,frog
100926,airplane
100927,cat
100928,frog
100929,ship
10093,cat
100930,bird
100931,cat
100932,automobile
100933,frog
100934,airplane
100935,bird
100936,horse
100937,cat
100938,automobile
100939,horse
10094,cat
100940,deer
100941,automobile
100942,horse
100943,automobile
100944,automobile
100945,automobile
100946,cat
100947,deer
100948,deer
100949,ship
10095,bird
100950,ship
100951,automobile
100952,automobile
100953,deer
100954,ship
100955,bird
100956,frog
100957,deer
100958,frog
100959,frog
10096,horse
100960,dog
100961,frog
100962,bird
100963,truck
100964,deer
100965,automobile
100966,dog
100967,frog
100968,automobile
100969,horse
10097,cat
100970,ship
100971,ship
100972,dog
100973,cat
100974,airplane
100975,cat
100976,ship
100977,frog
100978,airplane
100979,automobile
10098,airplane
100980,truck
100981,airplane
100982,dog
100983,bird
100984,horse
100985,automobile
100986,deer
100987,automobile
100988,deer
100989,deer
10099,frog
100990,deer
100991,ship
100992,truck
100993,bird
100994,automobile
100995,truck
100996,bird
100997,frog
100998,dog
100999,airplane
101,deer
1010,cat
10100,deer
101000,cat
101001,bird
101002,truck
101003,automobile
101004,cat
101005,deer
101006,automobile
101007,dog
101008,bird
101009,frog
10101,dog
101010,ship
101011,deer
101012,horse
101013,bird
101014,horse
101015,deer
101016,ship
101017,truck
101018,frog
101019,airplane
10102,truck
101020,deer
101021,automobile
101022,truck
101023,cat
101024,deer
101025,deer
101026,deer
101027,airplane
101028,dog
101029,deer
10103,cat
101030,dog
101031,airplane
101032,cat
101033,deer
101034,cat
101035,truck
101036,bird
101037,deer
101038,cat
101039,bird
10104,bird
101040,frog
101041,truck
101042,cat
101043,automobile
101044,cat
101045,ship
101046,cat
101047,truck
101048,dog
101049,deer
10105,frog
101050,bird
101051,cat
101052,frog
101053,bird
101054,deer
101055,bird
101056,deer
101057,bird
101058,dog
101059,bird
10106,cat
101060,truck
101061,frog
101062,frog
101063,airplane
101064,deer
101065,bird
101066,cat
101067,cat
101068,ship
101069,airplane
10107,truck
101070,bird
101071,cat
101072,truck
101073,frog
101074,frog
101075,truck
101076,airplane
101077,automobile
101078,frog
101079,horse
10108,automobile
101080,cat
101081,frog
101082,deer
101083,truck
101084,frog
101085,frog
101086,cat
101087,frog
101088,deer
101089,cat
10109,cat
101090,cat
101091,ship
101092,dog
101093,frog
101094,cat
101095,frog
101096,dog
101097,dog
101098,dog
101099,ship
1011,cat
10110,cat
101100,frog
101101,deer
101102,dog
101103,dog
101104,truck
101105,truck
101106,cat
101107,cat
101108,dog
101109,ship
10111,deer
101110,frog
101111,frog
101112,frog
101113,dog
101114,frog
101115,deer
101116,deer
101117,frog
101118,dog
101119,cat
10112,ship
101120,truck
101121,dog
101122,bird
101123,deer
101124,cat
101125,bird
101126,cat
101127,automobile
101128,deer
101129,frog
10113,bird
101130,frog
101131,cat
101132,dog
101133,bird
101134,frog
101135,bird
101136,ship
101137,truck
101138,frog
101139,deer
10114,horse
101140,airplane
101141,dog
101142,cat
101143,deer
101144,dog
101145,ship
101146,dog
101147,cat
101148,deer
101149,deer
10115,deer
101150,horse
101151,cat
101152,horse
101153,frog
101154,automobile
101155,frog
101156,deer
101157,deer
101158,truck
101159,deer
10116,deer
101160,deer
101161,airplane
101162,ship
101163,ship
101164,deer
101165,horse
101166,deer
101167,frog
101168,frog
101169,deer
10117,frog
101170,dog
101171,automobile
101172,automobile
101173,bird
101174,frog
101175,ship
101176,frog
101177,bird
101178,truck
101179,dog
10118,cat
101180,ship
101181,deer
101182,cat
101183,deer
101184,bird
101185,cat
101186,ship
101187,automobile
101188,frog
101189,bird
10119,airplane
101190,truck
101191,cat
101192,deer
101193,cat
101194,ship
101195,airplane
101196,dog
101197,ship
101198,deer
101199,dog
1012,deer
10120,dog
101200,truck
101201,cat
101202,airplane
101203,cat
101204,frog
101205,airplane
101206,deer
101207,cat
101208,airplane
101209,dog
10121,ship
101210,dog
101211,airplane
101212,frog
101213,automobile
101214,frog
101215,dog
101216,truck
101217,truck
101218,frog
101219,cat
10122,frog
101220,deer
101221,airplane
101222,frog
101223,deer
101224,airplane
101225,ship
101226,deer
101227,airplane
101228,deer
101229,deer
10123,bird
101230,cat
101231,truck
101232,truck
101233,deer
101234,truck
101235,frog
101236,deer
101237,cat
101238,cat
101239,bird
10124,bird
101240,deer
101241,dog
101242,bird
101243,horse
101244,dog
101245,frog
101246,deer
101247,cat
101248,cat
101249,deer
10125,bird
101250,cat
101251,cat
101252,deer
101253,cat
101254,deer
101255,airplane
101256,automobile
101257,dog
101258,bird
101259,dog
10126,horse
101260,deer
101261,deer
101262,frog
101263,cat
101264,dog
101265,frog
101266,frog
101267,frog
101268,horse
101269,deer
10127,bird
101270,cat
101271,deer
101272,airplane
101273,bird
101274,deer
101275,automobile
101276,dog
101277,dog
101278,cat
101279,bird
10128,bird
101280,deer
101281,bird
101282,deer
101283,frog
101284,airplane
101285,truck
101286,bird
101287,frog
101288,cat
101289,frog
10129,automobile
101290,cat
101291,truck
101292,bird
101293,horse
101294,cat
101295,deer
101296,frog
101297,cat
101298,dog
101299,deer
1013,deer
10130,cat
101300,dog
101301,frog
101302,frog
101303,bird
101304,ship
101305,cat
101306,deer
101307,ship
101308,deer
101309,bird
10131,cat
101310,bird
101311,airplane
101312,frog
101313,ship
101314,ship
101315,horse
101316,cat
101317,horse
101318,frog
101319,deer
10132,frog
101320,ship
101321,deer
101322,ship
101323,deer
101324,frog
101325,airplane
101326,cat
101327,deer
101328,ship
101329,frog
10133,frog
101330,cat
101331,automobile
101332,dog
101333,cat
101334,bird
101335,ship
101336,cat
101337,deer
101338,bird
101339,frog
10134,deer
101340,truck
101341,deer
101342,cat
101343,frog
101344,cat
101345,automobile
101346,deer
101347,ship
101348,ship
101349,dog
10135,deer
101350,bird
101351,automobile
101352,dog
101353,deer
101354,deer
101355,ship
101356,ship
101357,ship
101358,truck
101359,cat
10136,bird
101360,cat
101361,dog
101362,deer
101363,dog
101364,cat
101365,cat
101366,truck
101367,airplane
101368,cat
101369,airplane
10137,horse
101370,cat
101371,ship
101372,dog
101373,ship
101374,cat
101375,ship
101376,truck
101377,airplane
101378,airplane
101379,dog
10138,truck
101380,cat
101381,airplane
101382,ship
101383,cat
101384,deer
101385,cat
101386,bird
101387,frog
101388,deer
101389,ship
10139,automobile
101390,deer
101391,automobile
101392,dog
101393,truck
101394,horse
101395,dog
101396,horse
101397,ship
101398,cat
101399,cat
1014,airplane
10140,dog
101400,cat
101401,deer
101402,dog
101403,frog
101404,cat
101405,deer
101406,dog
101407,ship
101408,horse
101409,bird
10141,automobile
101410,airplane
101411,frog
101412,deer
101413,frog
101414,dog
101415,dog
101416,frog
101417,horse
101418,deer
101419,ship
10142,cat
101420,automobile
101421,truck
101422,deer
101423,cat
101424,frog
101425,deer
101426,bird
101427,deer
101428,bird
101429,bird
10143,deer
101430,frog
101431,frog
101432,dog
101433,ship
101434,deer
101435,truck
101436,truck
101437,deer
101438,ship
101439,bird
10144,truck
101440,truck
101441,dog
101442,deer
101443,ship
101444,frog
101445,dog
101446,airplane
101447,ship
101448,ship
101449,ship
10145,frog
101450,cat
101451,frog
101452,horse
101453,airplane
101454,frog
101455,horse
101456,automobile
101457,ship
101458,ship
101459,bird
10146,airplane
101460,automobile
101461,deer
101462,ship
101463,frog
101464,bird
101465,cat
101466,dog
101467,bird
101468,dog
101469,cat
10147,dog
101470,dog
101471,automobile
101472,frog
101473,ship
101474,deer
101475,cat
101476,ship
101477,deer
101478,bird
101479,cat
10148,frog
101480,frog
101481,ship
101482,cat
101483,frog
101484,dog
101485,deer
101486,dog
101487,ship
101488,deer
101489,frog
10149,horse
101490,bird
101491,airplane
101492,bird
101493,deer
101494,frog
101495,dog
101496,dog
101497,deer
101498,airplane
101499,cat
1015,frog
10150,frog
101500,deer
101501,ship
101502,dog
101503,cat
101504,airplane
101505,truck
101506,deer
101507,bird
101508,automobile
101509,dog
10151,airplane
101510,deer
101511,frog
101512,truck
101513,cat
101514,frog
101515,bird
101516,deer
101517,horse
101518,frog
101519,frog
10152,truck
101520,ship
101521,frog
101522,ship
101523,ship
101524,deer
101525,truck
101526,deer
101527,frog
101528,dog
101529,frog
10153,automobile
101530,bird
101531,frog
101532,deer
101533,deer
101534,airplane
101535,automobile
101536,frog
101537,cat
101538,automobile
101539,deer
10154,airplane
101540,frog
101541,deer
101542,ship
101543,airplane
101544,automobile
101545,truck
101546,automobile
101547,dog
101548,dog
101549,frog
10155,dog
101550,deer
101551,frog
101552,frog
101553,horse
101554,ship
101555,dog
101556,frog
101557,deer
101558,cat
101559,airplane
10156,cat
101560,truck
101561,frog
101562,deer
101563,truck
101564,cat
101565,automobile
101566,frog
101567,dog
101568,automobile
101569,airplane
10157,airplane
101570,dog
101571,deer
101572,frog
101573,frog
101574,airplane
101575,cat
101576,cat
101577,deer
101578,deer
101579,frog
10158,airplane
101580,truck
101581,dog
101582,bird
101583,frog
101584,automobile
101585,frog
101586,deer
101587,frog
101588,bird
101589,cat
10159,horse
101590,cat
101591,horse
101592,airplane
101593,cat
101594,deer
101595,cat
101596,frog
101597,bird
101598,cat
101599,dog
1016,horse
10160,frog
101600,cat
101601,truck
101602,cat
101603,cat
101604,frog
101605,dog
101606,automobile
101607,frog
101608,frog
101609,frog
10161,dog
101610,airplane
101611,frog
101612,automobile
101613,deer
101614,deer
101615,ship
101616,frog
101617,ship
101618,horse
101619,deer
10162,cat
101620,deer
101621,truck
101622,deer
101623,dog
101624,frog
101625,airplane
101626,frog
101627,dog
101628,ship
101629,horse
10163,truck
101630,ship
101631,airplane
101632,airplane
101633,horse
101634,ship
101635,automobile
101636,deer
101637,bird
101638,deer
101639,bird
10164,frog
101640,deer
101641,horse
101642,automobile
101643,bird
101644,ship
101645,ship
101646,horse
101647,automobile
101648,airplane
101649,airplane
10165,dog
101650,truck
101651,cat
101652,deer
101653,cat
101654,truck
101655,automobile
101656,ship
101657,frog
101658,horse
101659,dog
10166,automobile
101660,automobile
101661,dog
101662,frog
101663,horse
101664,cat
101665,airplane
101666,frog
101667,truck
101668,dog
101669,frog
10167,deer
101670,deer
101671,frog
101672,truck
101673,deer
101674,cat
101675,airplane
101676,deer
101677,cat
101678,bird
101679,frog
10168,ship
101680,cat
101681,dog
101682,ship
101683,automobile
101684,ship
101685,airplane
101686,bird
101687,frog
101688,horse
101689,automobile
10169,bird
101690,automobile
101691,frog
101692,deer
101693,cat
101694,automobile
101695,truck
101696,frog
101697,deer
101698,cat
101699,deer
1017,ship
10170,cat
101700,dog
101701,deer
101702,automobile
101703,frog
101704,deer
101705,dog
101706,deer
101707,truck
101708,cat
101709,automobile
10171,deer
101710,cat
101711,ship
101712,frog
101713,truck
101714,horse
101715,bird
101716,deer
101717,frog
101718,airplane
101719,horse
10172,deer
101720,bird
101721,dog
101722,dog
101723,dog
101724,cat
101725,deer
101726,airplane
101727,deer
101728,frog
101729,truck
10173,frog
101730,airplane
101731,truck
101732,frog
101733,ship
101734,frog
101735,dog
101736,automobile
101737,automobile
101738,frog
101739,deer
10174,deer
101740,airplane
101741,deer
101742,airplane
101743,cat
101744,frog
101745,ship
101746,automobile
101747,frog
101748,dog
101749,truck
10175,deer
101750,dog
101751,frog
101752,cat
101753,ship
101754,airplane
101755,deer
101756,airplane
101757,frog
101758,ship
101759,dog
10176,bird
101760,dog
101761,cat
101762,frog
101763,frog
101764,truck
101765,frog
101766,truck
101767,deer
101768,ship
101769,dog
10177,dog
101770,cat
101771,deer
101772,deer
101773,automobile
101774,deer
101775,airplane
101776,cat
101777,frog
101778,automobile
101779,frog
10178,deer
101780,airplane
101781,bird
101782,ship
101783,truck
101784,cat
101785,frog
101786,ship
101787,automobile
101788,truck
101789,deer
10179,dog
101790,frog
101791,dog
101792,ship
101793,horse
101794,dog
101795,deer
101796,ship
101797,cat
101798,horse
101799,deer
1018,bird
10180,automobile
101800,ship
101801,dog
101802,airplane
101803,horse
101804,frog
101805,bird
101806,dog
101807,truck
101808,deer
101809,truck
10181,frog
101810,airplane
101811,bird
101812,automobile
101813,truck
101814,frog
101815,dog
101816,frog
101817,dog
101818,airplane
101819,dog
10182,deer
101820,cat
101821,cat
101822,deer
101823,frog
101824,deer
101825,deer
101826,frog
101827,frog
101828,cat
101829,dog
10183,dog
101830,cat
101831,bird
101832,frog
101833,airplane
101834,airplane
101835,dog
101836,ship
101837,frog
101838,dog
101839,horse
10184,frog
101840,cat
101841,truck
101842,truck
101843,deer
101844,deer
101845,frog
101846,ship
101847,automobile
101848,truck
101849,ship
10185,ship
101850,cat
101851,frog
101852,horse
101853,frog
101854,cat
101855,deer
101856,deer
101857,airplane
101858,bird
101859,horse
10186,automobile
101860,frog
101861,bird
101862,bird
101863,deer
101864,airplane
101865,cat
101866,truck
101867,dog
101868,deer
101869,airplane
10187,truck
101870,deer
101871,frog
101872,frog
101873,deer
101874,deer
101875,frog
101876,deer
101877,cat
101878,airplane
101879,bird
10188,airplane
101880,dog
101881,dog
101882,deer
101883,airplane
101884,cat
101885,bird
101886,airplane
101887,deer
101888,dog
101889,frog
10189,dog
101890,bird
101891,airplane
101892,ship
101893,automobile
101894,automobile
101895,frog
101896,frog
101897,frog
101898,frog
101899,frog
1019,cat
