id,label
1,ship
10,ship
100,ship
1000,ship
10000,ship
100000,ship
100001,ship
100002,ship
100003,ship
100004,ship
100005,ship
100006,ship
100007,ship
100008,ship
100009,ship
10001,ship
100010,ship
100011,ship
100012,ship
100013,ship
100014,ship
100015,ship
100016,ship
100017,ship
100018,ship
100019,ship
10002,ship
100020,ship
100021,ship
100022,ship
100023,ship
100024,ship
100025,ship
100026,ship
100027,ship
100028,ship
100029,ship
10003,ship
100030,ship
100031,ship
100032,ship
100033,ship
100034,ship
100035,ship
100036,ship
100037,ship
100038,ship
100039,ship
10004,ship
100040,ship
100041,ship
100042,ship
100043,ship
100044,ship
100045,ship
100046,ship
100047,ship
100048,ship
100049,ship
10005,ship
100050,ship
100051,ship
100052,ship
100053,ship
100054,ship
100055,ship
100056,ship
100057,ship
100058,ship
100059,ship
10006,ship
100060,ship
100061,ship
100062,ship
100063,ship
100064,ship
100065,ship
100066,ship
100067,ship
100068,ship
100069,ship
10007,ship
100070,ship
100071,ship
100072,ship
100073,ship
100074,ship
100075,ship
100076,ship
100077,ship
100078,ship
100079,ship
10008,ship
100080,ship
100081,ship
100082,ship
100083,ship
100084,ship
100085,ship
100086,ship
100087,ship
100088,ship
100089,ship
10009,ship
100090,ship
100091,ship
100092,ship
100093,ship
100094,ship
100095,ship
100096,ship
100097,ship
100098,ship
100099,ship
1001,ship
10010,ship
100100,ship
100101,ship
100102,ship
100103,ship
100104,ship
100105,ship
100106,ship
100107,ship
100108,ship
100109,ship
10011,ship
100110,ship
100111,ship
100112,ship
100113,ship
100114,ship
100115,ship
100116,ship
100117,ship
100118,ship
100119,ship
10012,ship
100120,ship
100121,ship
100122,ship
100123,ship
100124,ship
100125,ship
100126,ship
100127,ship
100128,ship
100129,ship
10013,ship
100130,ship
100131,ship
100132,ship
100133,ship
100134,ship
100135,ship
100136,ship
100137,ship
100138,ship
100139,ship
10014,ship
100140,ship
100141,ship
100142,ship
100143,ship
100144,ship
100145,ship
100146,ship
100147,ship
100148,ship
100149,ship
10015,ship
100150,ship
100151,ship
100152,ship
100153,ship
100154,ship
100155,ship
100156,ship
100157,ship
100158,ship
100159,ship
10016,ship
100160,ship
100161,ship
100162,ship
100163,ship
100164,ship
100165,ship
100166,ship
100167,ship
100168,ship
100169,ship
10017,ship
100170,ship
100171,ship
100172,ship
100173,ship
100174,ship
100175,ship
100176,ship
100177,ship
100178,ship
100179,ship
10018,ship
100180,ship
100181,ship
100182,ship
100183,ship
100184,ship
100185,ship
100186,ship
100187,ship
100188,ship
100189,ship
10019,ship
100190,ship
100191,ship
100192,ship
100193,ship
100194,ship
100195,ship
100196,ship
100197,ship
100198,ship
100199,ship
1002,ship
10020,ship
100200,ship
100201,ship
100202,ship
100203,ship
100204,ship
100205,ship
100206,ship
100207,ship
100208,ship
100209,ship
10021,ship
100210,ship
100211,ship
100212,ship
100213,ship
100214,ship
100215,ship
100216,ship
100217,ship
100218,ship
100219,ship
10022,ship
100220,ship
100221,ship
100222,ship
100223,ship
100224,ship
100225,ship
100226,ship
100227,ship
100228,ship
100229,ship
10023,ship
100230,ship
100231,ship
100232,ship
100233,ship
100234,ship
100235,ship
100236,ship
100237,ship
100238,ship
100239,ship
10024,ship
100240,ship
100241,ship
100242,ship
100243,ship
100244,ship
100245,ship
100246,ship
100247,ship
100248,ship
100249,ship
10025,ship
100250,ship
100251,ship
100252,ship
100253,ship
100254,ship
100255,ship
100256,ship
100257,ship
100258,ship
100259,ship
10026,ship
100260,ship
100261,ship
100262,ship
100263,ship
100264,ship
100265,ship
100266,ship
100267,ship
100268,ship
100269,ship
10027,ship
100270,ship
100271,ship
100272,ship
100273,ship
100274,ship
100275,ship
100276,ship
100277,ship
100278,ship
100279,ship
10028,ship
100280,ship
100281,ship
100282,ship
100283,ship
100284,ship
100285,ship
100286,ship
100287,ship
100288,ship
100289,ship
10029,ship
100290,ship
100291,ship
100292,ship
100293,ship
100294,ship
100295,ship
100296,ship
100297,ship
100298,ship
100299,ship
1003,ship
10030,ship
100300,ship
100301,ship
100302,ship
100303,ship
100304,ship
100305,ship
100306,ship
100307,ship
100308,ship
100309,ship
10031,ship
100310,ship
100311,ship
100312,ship
100313,ship
100314,ship
100315,ship
100316,ship
100317,ship
100318,ship
100319,ship
10032,ship
100320,ship
100321,ship
100322,ship
100323,ship
100324,ship
100325,ship
100326,ship
100327,ship
100328,ship
100329,ship
10033,ship
100330,ship
100331,ship
100332,ship
100333,ship
100334,ship
100335,ship
100336,ship
100337,ship
100338,ship
100339,ship
10034,ship
100340,ship
100341,ship
100342,ship
100343,ship
100344,ship
100345,ship
100346,ship
100347,ship
100348,ship
100349,ship
10035,ship
100350,ship
100351,ship
100352,ship
100353,ship
100354,ship
100355,ship
100356,ship
100357,ship
100358,ship
100359,ship
10036,ship
100360,ship
100361,ship
100362,ship
100363,ship
100364,ship
100365,ship
100366,ship
100367,ship
100368,ship
100369,ship
10037,ship
100370,ship
100371,ship
100372,ship
100373,ship
100374,ship
100375,ship
100376,ship
100377,ship
100378,ship
100379,ship
10038,ship
100380,ship
100381,ship
100382,ship
100383,ship
100384,ship
100385,ship
100386,ship
100387,ship
100388,ship
100389,ship
10039,ship
100390,ship
100391,ship
100392,ship
100393,ship
100394,ship
100395,ship
100396,ship
100397,ship
100398,ship
100399,ship
1004,ship
10040,ship
100400,ship
100401,ship
100402,ship
100403,ship
100404,ship
100405,ship
100406,ship
100407,ship
100408,ship
100409,ship
10041,ship
100410,ship
100411,ship
100412,ship
100413,ship
100414,ship
100415,ship
100416,ship
100417,ship
100418,ship
100419,ship
10042,ship
100420,ship
100421,ship
100422,ship
100423,ship
100424,ship
100425,ship
100426,ship
100427,ship
100428,ship
100429,ship
10043,ship
100430,ship
100431,ship
100432,ship
100433,ship
100434,ship
100435,ship
100436,ship
100437,ship
100438,ship
100439,ship
10044,ship
100440,ship
100441,ship
100442,ship
100443,ship
100444,ship
100445,ship
100446,ship
100447,ship
100448,ship
100449,ship
10045,ship
100450,ship
100451,ship
100452,ship
100453,ship
100454,ship
100455,ship
100456,ship
100457,ship
100458,ship
100459,ship
10046,ship
100460,ship
100461,ship
100462,ship
100463,ship
100464,ship
100465,ship
100466,ship
100467,ship
100468,ship
100469,ship
10047,ship
100470,ship
100471,ship
100472,ship
100473,ship
100474,ship
100475,ship
100476,ship
100477,ship
100478,ship
100479,ship
10048,ship
100480,ship
100481,ship
100482,ship
100483,ship
100484,ship
100485,ship
100486,ship
100487,ship
100488,ship
100489,ship
10049,ship
100490,ship
100491,ship
100492,ship
100493,ship
100494,ship
100495,ship
100496,ship
100497,ship
100498,ship
100499,ship
1005,ship
10050,ship
100500,ship
100501,ship
100502,ship
100503,ship
100504,ship
100505,ship
100506,ship
100507,ship
100508,ship
100509,ship
10051,ship
100510,ship
100511,ship
100512,ship
100513,ship
100514,ship
100515,ship
100516,ship
100517,ship
100518,ship
100519,ship
10052,ship
100520,ship
100521,ship
100522,ship
100523,ship
100524,ship
100525,ship
100526,ship
100527,ship
100528,ship
100529,ship
10053,ship
100530,ship
100531,ship
100532,ship
100533,ship
100534,ship
100535,ship
100536,ship
100537,ship
100538,ship
100539,ship
10054,ship
100540,ship
100541,ship
100542,ship
100543,ship
100544,ship
100545,ship
100546,ship
100547,ship
100548,ship
100549,ship
10055,ship
100550,ship
100551,ship
100552,ship
100553,ship
100554,ship
100555,ship
100556,ship
100557,ship
100558,ship
100559,ship
10056,ship
100560,ship
100561,ship
100562,ship
100563,ship
100564,ship
100565,ship
100566,ship
100567,ship
100568,ship
100569,ship
10057,ship
100570,ship
100571,ship
100572,ship
100573,ship
100574,ship
100575,ship
100576,ship
100577,ship
100578,ship
100579,ship
10058,ship
100580,ship
100581,ship
100582,ship
100583,ship
100584,ship
100585,ship
100586,ship
100587,ship
100588,ship
100589,ship
10059,ship
100590,ship
100591,ship
100592,ship
100593,ship
100594,ship
100595,ship
100596,ship
100597,ship
100598,ship
100599,ship
1006,ship
10060,ship
100600,ship
100601,ship
100602,ship
100603,ship
100604,ship
100605,ship
100606,ship
100607,ship
100608,ship
100609,ship
10061,ship
100610,ship
100611,ship
100612,ship
100613,ship
100614,ship
100615,ship
100616,ship
100617,ship
100618,ship
100619,ship
10062,ship
100620,ship
100621,ship
100622,ship
100623,ship
100624,ship
100625,ship
100626,ship
100627,ship
100628,ship
100629,ship
10063,ship
100630,ship
100631,ship
100632,ship
100633,ship
100634,ship
100635,ship
100636,ship
100637,ship
100638,ship
100639,ship
10064,ship
100640,ship
100641,ship
100642,ship
100643,ship
100644,ship
100645,ship
100646,ship
100647,ship
100648,ship
100649,ship
10065,ship
100650,ship
100651,ship
100652,ship
100653,ship
100654,ship
100655,ship
100656,ship
100657,ship
100658,ship
100659,ship
10066,ship
100660,ship
100661,ship
100662,ship
100663,ship
100664,ship
100665,ship
100666,ship
100667,ship
100668,ship
100669,ship
10067,ship
100670,ship
100671,ship
100672,ship
100673,ship
100674,ship
100675,ship
100676,ship
100677,ship
100678,ship
100679,ship
10068,ship
100680,ship
100681,ship
100682,ship
100683,ship
100684,ship
100685,ship
100686,ship
100687,ship
100688,ship
100689,ship
10069,ship
100690,ship
100691,ship
100692,ship
100693,ship
100694,ship
100695,ship
100696,ship
100697,ship
100698,ship
100699,ship
1007,ship
10070,ship
100700,ship
100701,ship
100702,ship
100703,ship
100704,ship
100705,ship
100706,ship
100707,ship
100708,ship
100709,ship
10071,ship
100710,ship
100711,ship
100712,ship
100713,ship
100714,ship
100715,ship
100716,ship
100717,ship
100718,ship
100719,ship
10072,ship
100720,ship
100721,ship
100722,ship
100723,ship
100724,ship
100725,ship
100726,ship
100727,ship
100728,ship
100729,ship
10073,ship
100730,ship
100731,ship
100732,ship
100733,ship
100734,ship
100735,ship
100736,ship
100737,ship
100738,ship
100739,ship
10074,ship
100740,ship
100741,ship
100742,ship
100743,ship
100744,ship
100745,ship
100746,ship
100747,ship
100748,ship
100749,ship
10075,ship
100750,ship
100751,ship
100752,ship
100753,ship
100754,ship
100755,ship
100756,ship
100757,ship
100758,ship
100759,ship
10076,ship
100760,ship
100761,ship
100762,ship
100763,ship
100764,ship
100765,ship
100766,ship
100767,ship
100768,ship
100769,ship
10077,ship
