id,label
272793,truck
259932,bird
72150,cat
233976,ship
54274,dog
65393,cat
190282,bird
96283,bird
279187,truck
294568,deer
231539,frog
254268,dog
183754,ship
60795,frog
293173,airplane
193674,bird
296420,bird
246411,dog
195339,ship
61436,ship
22662,ship
188754,truck
119640,truck
231403,cat
248676,bird
214384,frog
131566,deer
86292,cat
23039,bird
172121,deer
19772,cat
171580,truck
58784,dog
290979,frog
4671,dog
212825,cat
254452,horse
168839,deer
103793,ship
15932,ship
109445,bird
34304,automobile
33827,dog
286691,ship
192640,cat
38538,airplane
52326,deer
207324,ship
38809,cat
145229,automobile
237743,bird
27827,deer
281651,frog
187980,bird
153114,bird
292447,ship
210020,dog
274808,airplane
32122,dog
167986,dog
36023,cat
79158,automobile
1537,frog
122508,deer
175040,deer
128351,frog
249740,truck
10383,airplane
252450,truck
234791,cat
25516,frog
37509,deer
283920,cat
56943,cat
232155,frog
81723,ship
154656,deer
165253,deer
103895,frog
801,frog
178100,automobile
189076,ship
145594,bird
55123,deer
139736,deer
281035,ship
233591,frog
225903,cat
209911,ship
112618,dog
231853,automobile
182562,dog
188653,cat
41325,ship
18689,cat
104135,frog
90476,deer
130130,frog
79451,deer
123785,dog
155708,deer
30438,cat
221973,frog
25286,horse
103339,cat
186266,ship
68712,cat
241054,airplane
39203,cat
290746,dog
116440,deer
213557,ship
214717,frog
196024,airplane
248767,deer
144044,cat
132781,deer
210331,automobile
264103,horse
133156,airplane
168172,cat
128529,bird
187927,deer
16425,dog
41697,cat
191240,bird
40417,horse
238680,cat
118660,bird
259248,airplane
291937,truck
257988,bird
184716,ship
41028,deer
290552,dog
108122,ship
170489,frog
61091,bird
145592,frog
295504,deer
279759,horse
91267,frog
49282,airplane
272926,airplane
148384,horse
188379,truck
162833,dog
72933,truck
20767,deer
178452,horse
79525,deer
236379,frog
136346,truck
167526,ship
213462,ship
125277,horse
205512,ship
115240,dog
79610,automobile
4124,ship
5691,cat
29765,bird
231101,airplane
37707,cat
266214,airplane
206754,frog
195210,airplane
107753,cat
190097,cat
281835,cat
27215,truck
133380,deer
108743,bird
189536,bird
178990,cat
173455,deer
276466,cat
163734,bird
282680,bird
124702,deer
140895,automobile
160266,dog
44177,ship
93023,bird
234088,ship
120134,automobile
94855,bird
15184,ship
23423,automobile
28292,cat
232453,dog
3220,dog
217481,deer
58460,bird
262802,dog
255743,truck
13643,horse
145910,airplane
29361,automobile
251139,automobile
54649,bird
102738,deer
82220,airplane
2224,frog
98240,ship
241970,ship
244680,cat
130875,frog
184201,frog
197521,deer
289056,frog
115679,frog
5047,deer
72800,deer
240167,frog
197114,ship
160594,bird
130588,frog
75291,frog
96748,cat
80265,frog
78297,cat
161397,ship
88091,frog
109732,dog
255648,frog
31436,deer
96224,horse
261501,deer
292546,deer
8233,cat
1948,bird
54539,deer
275534,bird
110317,bird
159365,cat
60785,automobile
186489,deer
288773,airplane
84956,airplane
105811,truck
27815,frog
6005,airplane
164998,frog
275243,truck
131749,horse
105362,dog
72895,frog
57996,deer
216187,deer
283660,cat
75919,cat
60710,dog
116739,airplane
170177,cat
225598,truck
67451,airplane
123920,truck
292140,ship
271375,horse
177727,bird
278111,frog
4273,deer
135016,cat
195955,cat
95100,cat
223876,airplane
161851,airplane
237001,dog
3567,horse
255825,cat
13712,bird
224705,airplane
134078,deer
117181,frog
265347,airplane
94250,bird
265731,dog
227571,bird
96006,truck
287969,dog
203296,cat
246104,dog
139140,truck
17072,cat
266827,airplane
27529,bird
131641,deer
135998,dog
273835,horse
216880,cat
80410,automobile
248937,cat
126429,ship
28166,dog
142430,deer
68831,cat
179472,automobile
281678,bird
267444,automobile
21806,dog
109302,airplane
61912,frog
23455,cat
140088,horse
248790,frog
236913,bird
223947,automobile
152996,horse
183580,dog
112459,ship
172001,truck
225404,dog
146931,ship
4423,ship
124116,truck
267046,dog
264144,ship
200187,dog
157211,horse
214031,frog
268965,cat
142496,ship
132980,frog
6616,deer
10394,frog
210164,dog
208960,bird
5476,dog
64655,cat
278590,ship
87398,truck
39949,horse
113366,cat
265330,ship
243177,frog
229966,truck
104846,automobile
190741,deer
261805,dog
26229,bird
189966,frog
7804,truck
210086,deer
173178,automobile
108993,cat
271015,cat
169902,bird
51585,automobile
213154,airplane
183897,automobile
224439,ship
46259,dog
26061,bird
167312,ship
297795,dog
192291,ship
15178,deer
136973,horse
221398,truck
126413,airplane
58030,deer
45673,cat
94982,ship
296207,bird
271668,airplane
