id,label
1,deer
10,dog
100,bird
1000,bird
10000,frog
100000,dog
100001,deer
100002,deer
100003,frog
100004,ship
100005,frog
100006,automobile
100007,frog
100008,airplane
100009,truck
10001,dog
100010,horse
100011,horse
100012,cat
100013,airplane
100014,dog
100015,airplane
100016,deer
100017,ship
100018,truck
100019,cat
10002,truck
100020,cat
100021,horse
100022,ship
100023,automobile
100024,deer
100025,truck
100026,deer
100027,frog
100028,automobile
100029,truck
10003,dog
100030,dog
100031,bird
100032,deer
100033,frog
100034,airplane
100035,deer
100036,cat
100037,deer
100038,dog
100039,airplane
10004,ship
100040,automobile
100041,deer
100042,dog
100043,dog
100044,ship
100045,dog
100046,deer
100047,airplane
100048,frog
100049,frog
10005,truck
100050,frog
100051,cat
100052,deer
100053,truck
100054,truck
100055,truck
100056,frog
100057,cat
100058,frog
100059,bird
10006,horse
100060,deer
100061,ship
100062,horse
100063,ship
100064,dog
100065,airplane
100066,automobile
100067,cat
100068,ship
100069,horse
10007,horse
100070,ship
100071,automobile
100072,airplane
100073,cat
100074,deer
100075,deer
100076,automobile
100077,deer
100078,bird
100079,frog
10008,airplane
100080,bird
100081,airplane
100082,dog
100083,automobile
100084,dog
100085,frog
100086,automobile
100087,horse
100088,horse
100089,frog
10009,deer
100090,automobile
100091,deer
100092,cat
100093,frog
100094,frog
100095,ship
100096,cat
100097,bird
100098,frog
100099,truck
1001,cat
10010,ship
100100,dog
100101,horse
100102,airplane
100103,automobile
100104,ship
100105,cat
100106,cat
100107,cat
100108,frog
100109,horse
10011,cat
100110,bird
100111,automobile
100112,cat
100113,cat
100114,frog
100115,deer
100116,automobile
100117,airplane
100118,cat
100119,deer
10012,ship
100120,dog
100121,frog
100122,ship
100123,airplane
100124,deer
100125,automobile
100126,cat
100127,cat
100128,deer
100129,truck
10013,dog
100130,dog
100131,truck
100132,dog
100133,deer
100134,frog
100135,dog
100136,cat
100137,airplane
100138,frog
100139,airplane
10014,bird
100140,airplane
100141,automobile
100142,dog
100143,horse
100144,ship
100145,deer
100146,ship
100147,ship
100148,dog
100149,deer
10015,deer
100150,automobile
100151,bird
100152,deer
100153,bird
100154,automobile
100155,cat
100156,ship
100157,horse
100158,deer
100159,ship
10016,deer
100160,airplane
100161,deer
100162,truck
100163,horse
100164,cat
100165,dog
100166,bird
100167,automobile
100168,cat
100169,ship
10017,airplane
100170,dog
100171,cat
100172,truck
100173,truck
100174,airplane
100175,ship
100176,dog
100177,deer
100178,bird
100179,truck
10018,cat
100180,truck
100181,truck
100182,deer
100183,deer
100184,frog
100185,horse
100186,cat
100187,airplane
100188,airplane
100189,ship
10019,cat
100190,deer
100191,horse
100192,ship
100193,cat
100194,frog
100195,frog
100196,cat
100197,cat
100198,dog
100199,deer
1002,airplane
10020,deer
100200,dog
100201,ship
100202,cat
100203,frog
100204,frog
100205,bird
100206,cat
100207,deer
100208,dog
100209,deer
10021,airplane
100210,cat
100211,dog
100212,airplane
100213,bird
100214,frog
100215,frog
100216,automobile
100217,truck
100218,deer
100219,ship
10022,airplane
100220,bird
100221,horse
100222,dog
100223,automobile
100224,truck
100225,deer
100226,frog
100227,automobile
100228,horse
100229,cat
10023,airplane
100230,dog
100231,dog
100232,deer
100233,bird
100234,airplane
100235,dog
100236,horse
100237,truck
100238,deer
100239,deer
10024,cat
100240,horse
100241,cat
100242,ship
100243,truck
100244,frog
100245,dog
100246,cat
100247,frog
100248,truck
100249,frog
10025,deer
100250,cat
100251,cat
100252,cat
100253,horse
100254,truck
100255,airplane
100256,airplane
100257,airplane
100258,cat
100259,bird
10026,horse
100260,bird
100261,dog
100262,truck
100263,automobile
100264,airplane
100265,frog
100266,ship
100267,airplane
100268,truck
100269,bird
10027,ship
100270,frog
100271,ship
100272,airplane
100273,bird
100274,truck
100275,ship
100276,deer
100277,frog
100278,horse
100279,cat
10028,horse
100280,frog
100281,truck
100282,deer
100283,deer
100284,cat
100285,truck
100286,ship
100287,automobile
100288,cat
100289,deer
10029,horse
100290,cat
100291,truck
100292,truck
100293,airplane
100294,ship
100295,deer
100296,horse
100297,cat
100298,cat
100299,airplane
1003,cat
10030,deer
100300,horse
100301,automobile
100302,deer
100303,deer
100304,bird
100305,ship
100306,dog
100307,truck
100308,frog
100309,truck
10031,deer
100310,deer
100311,frog
100312,deer
100313,deer
100314,automobile
100315,truck
100316,frog
100317,cat
100318,automobile
100319,airplane
10032,airplane
100320,frog
100321,dog
100322,frog
100323,airplane
100324,horse
100325,deer
100326,horse
100327,frog
100328,dog
100329,frog
10033,automobile
100330,ship
100331,dog
100332,truck
100333,deer
100334,automobile
100335,automobile
100336,ship
100337,deer
100338,cat
100339,deer
10034,truck
100340,frog
100341,deer
100342,deer
100343,dog
100344,automobile
100345,bird
100346,horse
100347,frog
100348,bird
100349,cat
10035,cat
100350,deer
100351,frog
100352,bird
100353,frog
100354,deer
100355,airplane
100356,truck
100357,frog
100358,airplane
100359,ship
10036,dog
100360,truck
100361,truck
100362,deer
100363,horse
100364,deer
100365,horse
100366,horse
100367,bird
100368,horse
100369,airplane
10037,airplane
100370,horse
100371,truck
100372,horse
100373,cat
100374,cat
100375,horse
100376,automobile
100377,deer
100378,deer
100379,automobile
10038,cat
100380,cat
100381,horse
100382,deer
100383,bird
100384,horse
100385,truck
100386,horse
100387,automobile
100388,automobile
100389,horse
10039,horse
100390,airplane
100391,cat
100392,frog
100393,bird
100394,airplane
100395,deer
100396,airplane
100397,ship
100398,horse
100399,deer
1004,cat
10040,frog
100400,airplane
100401,airplane
100402,bird
100403,frog
100404,deer
100405,ship
100406,bird
100407,deer
100408,airplane
100409,dog
10041,deer
100410,frog
100411,truck
100412,bird
100413,horse
100414,bird
100415,bird
100416,truck
100417,ship
100418,cat
100419,bird
10042,deer
100420,truck
100421,dog
100422,dog
100423,bird
100424,cat
100425,frog
100426,deer
100427,airplane
100428,automobile
100429,ship
10043,airplane
100430,cat
100431,dog
100432,automobile
100433,truck
100434,ship
100435,airplane
100436,deer
100437,ship
100438,ship
100439,deer
10044,bird
100440,ship
100441,deer
100442,dog
100443,ship
100444,horse
100445,automobile
100446,deer
100447,deer
100448,cat
100449,truck
10045,automobile
100450,horse
100451,bird
100452,frog
100453,bird
100454,cat
100455,deer
100456,frog
100457,horse
100458,deer
100459,bird
10046,bird
100460,ship
100461,dog
100462,deer
100463,dog
100464,truck
100465,dog
100466,bird
100467,horse
100468,cat
100469,automobile
10047,deer
100470,bird
100471,ship
100472,truck
100473,bird
100474,horse
100475,dog
100476,horse
100477,deer
100478,bird
100479,dog
10048,frog
100480,dog
100481,cat
100482,cat
100483,horse
100484,automobile
100485,dog
100486,horse
100487,bird
100488,frog
100489,dog
10049,automobile
100490,automobile
100491,deer
100492,cat
100493,deer
100494,bird
100495,cat
100496,ship
100497,deer
100498,dog
100499,horse
1005,cat
10050,truck
100500,airplane
100501,ship
100502,truck
100503,bird
100504,cat
100505,cat
100506,automobile
100507,cat
100508,airplane
100509,automobile
10051,dog
100510,cat
100511,dog
100512,frog
100513,frog
100514,frog
100515,ship
100516,deer
100517,cat
100518,frog
100519,ship
10052,dog
100520,deer
100521,airplane
100522,deer
100523,bird
100524,bird
100525,airplane
100526,cat
100527,horse
100528,dog
100529,cat
10053,airplane
100530,cat
100531,automobile
100532,ship
100533,bird
100534,frog
100535,truck
100536,bird
100537,bird
100538,ship
100539,bird
10054,airplane
100540,ship
100541,cat
100542,ship
100543,ship
100544,frog
100545,dog
100546,automobile
100547,bird
100548,cat
100549,dog
10055,bird
100550,dog
100551,deer
100552,cat
100553,horse
100554,deer
100555,cat
100556,deer
100557,airplane
100558,horse
100559,automobile
10056,ship
100560,frog
100561,automobile
100562,dog
100563,horse
100564,truck
100565,bird
100566,airplane
100567,frog
100568,ship
100569,deer
10057,deer
100570,truck
100571,automobile
100572,dog
100573,frog
100574,truck
100575,ship
100576,cat
100577,bird
100578,frog
100579,cat
10058,airplane
100580,deer
100581,horse
100582,deer
100583,deer
100584,ship
100585,dog
100586,frog
100587,airplane
100588,automobile
100589,ship
10059,dog
100590,dog
100591,deer
100592,automobile
100593,automobile
100594,ship
100595,bird
100596,airplane
100597,bird
100598,bird
100599,deer
1006,dog
10060,horse
100600,dog
100601,frog
100602,deer
100603,horse
100604,airplane
100605,ship
100606,horse
100607,frog
100608,ship
100609,horse
10061,automobile
100610,dog
100611,cat
100612,cat
100613,ship
100614,automobile
100615,automobile
100616,deer
100617,truck
100618,deer
100619,frog
10062,automobile
100620,deer
100621,cat
100622,truck
100623,bird
100624,truck
100625,automobile
100626,dog
100627,deer
100628,cat
100629,truck
10063,horse
100630,horse
100631,airplane
100632,bird
100633,truck
100634,automobile
100635,dog
100636,airplane
100637,truck
100638,horse
100639,cat
10064,cat
100640,truck
100641,deer
100642,truck
100643,deer
100644,airplane
100645,cat
100646,deer
100647,dog
100648,bird
100649,ship
10065,ship
100650,dog
100651,dog
100652,ship
100653,horse
100654,frog
100655,dog
100656,airplane
100657,deer
100658,dog
100659,ship
10066,cat
100660,ship
100661,deer
100662,cat
100663,ship
100664,frog
100665,cat
100666,cat
100667,cat
100668,bird
100669,bird
10067,airplane
100670,ship
100671,cat
100672,dog
100673,horse
100674,horse
100675,frog
100676,horse
100677,frog
100678,bird
100679,cat
10068,dog
100680,horse
100681,deer
100682,cat
100683,frog
100684,frog
100685,truck
100686,automobile
100687,frog
100688,truck
100689,ship
10069,automobile
100690,frog
100691,horse
100692,ship
100693,cat
100694,dog
100695,frog
100696,cat
100697,ship
100698,cat
100699,frog
1007,ship
10070,frog
100700,dog
100701,cat
100702,airplane
100703,truck
100704,airplane
100705,frog
100706,dog
100707,dog
100708,bird
100709,horse
10071,deer
100710,dog
100711,automobile
100712,cat
100713,cat
100714,frog
100715,cat
100716,dog
100717,truck
100718,deer
100719,deer
10072,airplane
100720,airplane
100721,ship
100722,ship
100723,deer
100724,frog
100725,bird
100726,airplane
100727,automobile
100728,frog
100729,airplane
10073,dog
100730,airplane
100731,dog
100732,frog
100733,dog
100734,automobile
100735,deer
100736,cat
100737,cat
100738,cat
100739,automobile
10074,horse
100740,dog
100741,cat
100742,deer
100743,bird
100744,automobile
100745,ship
100746,bird
100747,truck
100748,automobile
100749,automobile
10075,dog
100750,dog
100751,ship
100752,cat
100753,automobile
100754,cat
100755,automobile
100756,dog
100757,horse
100758,cat
100759,cat
10076,bird
100760,airplane
100761,frog
100762,cat
100763,airplane
100764,cat
100765,dog
100766,truck
100767,truck
100768,deer
100769,bird
10077,bird
100770,cat
100771,automobile
100772,deer
100773,deer
100774,deer
100775,cat
100776,bird
100777,deer
100778,truck
100779,ship
10078,bird
100780,horse
100781,dog
100782,horse
100783,truck
100784,ship
100785,deer
100786,deer
100787,frog
100788,frog
100789,horse
10079,dog
100790,bird
100791,bird
100792,frog
100793,automobile
100794,truck
100795,deer
100796,ship
100797,cat
100798,deer
100799,dog
1008,automobile
10080,automobile
100800,ship
100801,frog
100802,bird
100803,deer
100804,bird
100805,bird
100806,horse
100807,bird
100808,deer
100809,frog
10081,automobile
100810,dog
100811,ship
100812,airplane
100813,airplane
100814,frog
100815,deer
100816,dog
100817,dog
100818,automobile
100819,dog
10082,bird
100820,cat
100821,airplane
100822,automobile
100823,cat
100824,frog
100825,dog
100826,cat
100827,cat
100828,dog
100829,dog
10083,horse
100830,deer
100831,frog
100832,frog
100833,dog
100834,deer
100835,dog
100836,ship
100837,cat
100838,airplane
100839,ship
10084,cat
100840,truck
100841,deer
100842,horse
100843,horse
100844,dog
100845,frog
100846,airplane
100847,frog
100848,frog
100849,bird
10085,ship
100850,frog
100851,airplane
100852,bird
100853,horse
100854,truck
100855,cat
100856,dog
100857,dog
100858,ship
100859,dog
10086,ship
100860,horse
100861,airplane
100862,deer
100863,dog
100864,cat
100865,cat
100866,airplane
100867,deer
100868,horse
100869,truck
10087,ship
100870,automobile
100871,horse
100872,horse
100873,cat
100874,airplane
100875,dog
100876,cat
100877,automobile
100878,cat
100879,truck
10088,frog
100880,airplane
100881,cat
100882,automobile
100883,truck
100884,frog
100885,cat
100886,cat
100887,cat
100888,ship
100889,truck
10089,ship
100890,horse
100891,cat
100892,dog
100893,automobile
100894,deer
100895,deer
100896,cat
100897,cat
100898,bird
100899,truck
1009,automobile
10090,deer
100900,airplane
100901,deer
100902,dog
100903,bird
100904,frog
100905,cat
100906,deer
100907,truck
100908,deer
100909,deer
10091,bird
100910,airplane
100911,frog
100912,dog
100913,ship
100914,dog
100915,dog
100916,cat
100917,truck
100918,airplane
100919,ship
10092,deer
100920,horse
100921,horse
100922,ship
100923,cat
100924,bird
100925,dog
100926,airplane
100927,cat
100928,cat
100929,ship
10093,cat
100930,deer
100931,cat
100932,automobile
100933,bird
100934,bird
100935,deer
100936,horse
100937,ship
100938,automobile
100939,horse
10094,cat
100940,horse
100941,automobile
100942,horse
100943,automobile
100944,automobile
100945,truck
100946,cat
100947,cat
100948,deer
100949,deer
10095,bird
100950,ship
100951,automobile
100952,automobile
100953,airplane
100954,airplane
100955,bird
100956,frog
100957,horse
100958,frog
100959,frog
10096,deer
100960,horse
100961,frog
100962,cat
100963,truck
100964,bird
100965,airplane
100966,cat
100967,frog
100968,automobile
100969,horse
10097,cat
100970,ship
100971,truck
100972,dog
100973,cat
100974,bird
100975,frog
100976,ship
100977,frog
100978,automobile
100979,automobile
10098,cat
100980,truck
100981,airplane
100982,truck
100983,bird
100984,horse
100985,automobile
100986,deer
100987,automobile
100988,bird
100989,horse
10099,dog
100990,deer
100991,ship
100992,automobile
100993,bird
100994,automobile
100995,truck
100996,bird
100997,cat
100998,horse
100999,airplane
101,deer
1010,cat
10100,deer
101000,deer
101001,bird
101002,truck
101003,automobile
101004,airplane
101005,deer
101006,automobile
101007,dog
101008,frog
101009,frog
10101,dog
101010,ship
101011,deer
101012,horse
101013,truck
101014,horse
101015,deer
101016,ship
101017,truck
101018,deer
101019,airplane
10102,truck
101020,frog
101021,automobile
101022,truck
101023,cat
101024,deer
101025,bird
101026,horse
101027,airplane
101028,dog
101029,truck
10103,deer
101030,dog
101031,airplane
101032,deer
101033,bird
101034,dog
101035,truck
101036,bird
101037,automobile
101038,dog
101039,airplane
10104,bird
101040,frog
101041,truck
101042,horse
101043,automobile
101044,cat
101045,truck
101046,cat
101047,truck
101048,horse
101049,dog
10105,bird
101050,bird
101051,cat
101052,frog
101053,bird
101054,deer
101055,deer
101056,deer
101057,airplane
101058,dog
101059,cat
10106,deer
101060,truck
101061,frog
101062,frog
101063,airplane
101064,deer
101065,bird
101066,cat
101067,dog
101068,ship
101069,airplane
10107,truck
101070,bird
101071,cat
101072,truck
101073,frog
101074,frog
101075,truck
101076,airplane
101077,automobile
101078,frog
101079,horse
10108,automobile
101080,cat
101081,frog
101082,cat
101083,truck
101084,frog
101085,bird
101086,cat
101087,frog
101088,deer
101089,cat
10109,cat
101090,cat
101091,ship
101092,dog
101093,bird
101094,cat
101095,deer
101096,dog
101097,dog
101098,deer
101099,ship
1011,dog
10110,cat
101100,ship
101101,airplane
101102,dog
101103,truck
101104,truck
101105,automobile
101106,bird
101107,cat
101108,dog
101109,ship
10111,horse
101110,frog
101111,bird
101112,frog
101113,cat
101114,bird
101115,horse
101116,bird
101117,frog
101118,airplane
101119,frog
10112,ship
101120,truck
101121,horse
101122,bird
101123,horse
101124,frog
101125,cat
101126,dog
101127,ship
101128,deer
101129,bird
10113,bird
101130,bird
101131,cat
101132,dog
101133,bird
101134,frog
101135,bird
101136,truck
101137,truck
101138,frog
101139,cat
10114,horse
101140,airplane
101141,dog
101142,deer
101143,horse
101144,dog
101145,ship
101146,dog
101147,cat
101148,deer
101149,deer
10115,deer
101150,airplane
101151,cat
101152,airplane
101153,frog
101154,truck
101155,frog
101156,deer
101157,dog
101158,truck
101159,deer
10116,airplane
101160,dog
101161,airplane
101162,ship
101163,ship
101164,bird
101165,horse
101166,deer
101167,frog
101168,frog
101169,automobile
10117,frog
101170,dog
101171,truck
101172,automobile
101173,deer
101174,frog
101175,ship
101176,dog
101177,dog
101178,truck
101179,dog
10118,cat
101180,ship
101181,deer
101182,frog
101183,horse
101184,cat
101185,frog
101186,ship
101187,automobile
101188,deer
101189,bird
10119,ship
101190,truck
101191,cat
101192,deer
101193,cat
101194,ship
101195,bird
101196,dog
101197,airplane
101198,deer
101199,dog
1012,deer
10120,dog
101200,truck
101201,cat
101202,airplane
101203,cat
101204,cat
101205,cat
101206,horse
101207,cat
101208,airplane
101209,dog
10121,ship
101210,cat
101211,automobile
101212,frog
101213,automobile
101214,bird
101215,dog
101216,automobile
101217,truck
101218,frog
101219,cat
10122,deer
101220,frog
101221,airplane
101222,frog
101223,deer
101224,airplane
101225,ship
101226,deer
101227,airplane
101228,bird
101229,cat
10123,airplane
101230,dog
101231,automobile
101232,truck
101233,bird
101234,automobile
101235,frog
101236,deer
101237,frog
101238,bird
101239,bird
10124,bird
101240,deer
101241,dog
101242,deer
101243,horse
101244,dog
101245,frog
101246,dog
101247,dog
101248,deer
101249,dog
10125,bird
101250,deer
101251,cat
101252,deer
101253,bird
101254,ship
101255,airplane
101256,automobile
101257,frog
101258,airplane
101259,dog
10126,horse
101260,horse
101261,deer
101262,frog
101263,cat
101264,dog
101265,frog
101266,frog
101267,frog
101268,horse
101269,horse
10127,airplane
101270,cat
101271,dog
101272,airplane
101273,dog
101274,cat
101275,automobile
101276,cat
101277,cat
101278,cat
101279,bird
10128,cat
101280,ship
101281,deer
101282,deer
101283,frog
101284,airplane
101285,truck
101286,bird
101287,bird
101288,cat
101289,bird
10129,automobile
101290,cat
101291,truck
101292,bird
101293,horse
101294,bird
101295,deer
101296,dog
101297,dog
101298,horse
101299,bird
1013,automobile
10130,cat
101300,dog
101301,frog
101302,frog
101303,bird
101304,ship
101305,deer
101306,ship
101307,bird
101308,deer
101309,cat
10131,frog
101310,bird
101311,truck
101312,frog
101313,ship
101314,ship
101315,dog
101316,deer
101317,horse
101318,automobile
101319,deer
10132,truck
101320,ship
101321,deer
101322,ship
101323,deer
101324,deer
101325,airplane
101326,deer
101327,deer
101328,ship
101329,frog
10133,frog
101330,cat
101331,automobile
101332,dog
101333,cat
101334,bird
101335,ship
101336,cat
101337,deer
101338,horse
101339,cat
10134,deer
101340,automobile
101341,deer
101342,frog
101343,dog
101344,dog
101345,automobile
101346,dog
101347,ship
101348,ship
101349,horse
10135,bird
101350,bird
101351,truck
101352,dog
101353,dog
101354,horse
101355,ship
101356,cat
101357,ship
101358,truck
101359,cat
10136,bird
101360,cat
101361,dog
101362,deer
101363,dog
101364,cat
101365,deer
101366,truck
101367,airplane
101368,cat
101369,airplane
10137,horse
101370,cat
101371,airplane
101372,deer
101373,ship
101374,deer
101375,ship
101376,ship
101377,airplane
101378,airplane
101379,dog
10138,truck
101380,cat
101381,bird
101382,ship
101383,cat
101384,cat
101385,cat
101386,frog
101387,frog
101388,deer
101389,ship
10139,automobile
101390,deer
101391,automobile
101392,dog
101393,truck
101394,dog
101395,deer
101396,horse
101397,ship
101398,bird
101399,deer
1014,airplane
10140,horse
101400,cat
101401,horse
101402,cat
101403,frog
101404,deer
101405,dog
101406,automobile
101407,ship
101408,horse
101409,deer
10141,automobile
101410,ship
101411,frog
101412,dog
101413,frog
101414,dog
101415,dog
101416,airplane
101417,horse
101418,horse
101419,ship
10142,dog
101420,automobile
101421,truck
101422,deer
101423,deer
101424,dog
101425,deer
101426,bird
101427,cat
101428,bird
101429,bird
10143,deer
101430,cat
101431,frog
101432,automobile
101433,ship
101434,deer
101435,truck
101436,truck
101437,deer
101438,ship
101439,dog
10144,automobile
101440,truck
101441,dog
101442,deer
101443,ship
101444,frog
101445,dog
101446,truck
101447,ship
101448,ship
101449,ship
10145,frog
101450,deer
101451,dog
101452,dog
101453,airplane
101454,frog
101455,horse
101456,automobile
101457,ship
101458,deer
101459,airplane
10146,cat
101460,automobile
101461,horse
101462,ship
101463,automobile
101464,bird
101465,bird
101466,deer
101467,bird
101468,deer
101469,cat
10147,dog
101470,truck
101471,automobile
101472,frog
101473,ship
101474,deer
101475,deer
101476,ship
101477,ship
101478,deer
101479,cat
10148,truck
101480,frog
101481,ship
101482,cat
101483,deer
101484,bird
101485,cat
101486,deer
101487,ship
101488,horse
101489,bird
10149,horse
101490,bird
101491,airplane
101492,deer
101493,deer
101494,frog
101495,dog
101496,dog
101497,deer
101498,airplane
101499,cat
1015,frog
10150,frog
101500,deer
101501,ship
101502,dog
101503,cat
101504,airplane
101505,automobile
101506,deer
101507,bird
101508,automobile
101509,dog
10151,airplane
101510,bird
101511,cat
101512,truck
101513,dog
101514,dog
101515,bird
101516,horse
101517,horse
101518,horse
101519,frog
10152,automobile
101520,ship
101521,bird
101522,airplane
101523,ship
101524,horse
101525,automobile
101526,deer
101527,frog
101528,dog
101529,frog
10153,automobile
101530,deer
101531,automobile
101532,automobile
101533,deer
101534,frog
101535,automobile
101536,frog
101537,ship
101538,truck
101539,deer
10154,ship
101540,cat
101541,frog
101542,bird
101543,airplane
101544,airplane
101545,truck
101546,automobile
101547,dog
101548,dog
101549,truck
10155,deer
101550,deer
101551,frog
101552,frog
101553,horse
101554,ship
101555,deer
101556,bird
101557,deer
101558,horse
101559,airplane
10156,cat
101560,truck
101561,frog
101562,cat
101563,truck
101564,cat
101565,automobile
101566,frog
101567,cat
101568,automobile
101569,bird
10157,cat
101570,dog
101571,bird
101572,deer
101573,bird
101574,airplane
101575,cat
101576,cat
101577,dog
101578,deer
101579,deer
10158,airplane
101580,truck
101581,dog
101582,deer
101583,frog
101584,airplane
101585,frog
101586,cat
101587,frog
101588,bird
101589,frog
10159,cat
101590,truck
101591,horse
101592,airplane
101593,ship
101594,truck
101595,ship
101596,frog
101597,cat
101598,frog
101599,bird
1016,horse
10160,deer
101600,cat
101601,truck
101602,bird
101603,cat
101604,frog
101605,dog
101606,ship
101607,deer
101608,frog
101609,frog
10161,deer
101610,airplane
101611,frog
101612,ship
101613,cat
101614,deer
101615,ship
101616,frog
101617,ship
101618,horse
101619,deer
10162,cat
101620,dog
101621,truck
101622,deer
101623,cat
101624,cat
101625,airplane
101626,frog
101627,dog
101628,deer
101629,dog
10163,truck
101630,cat
101631,airplane
101632,airplane
101633,horse
101634,truck
101635,automobile
101636,horse
101637,bird
101638,bird
101639,bird
10164,frog
101640,deer
101641,horse
101642,ship
101643,bird
101644,ship
101645,ship
101646,deer
101647,automobile
101648,airplane
101649,cat
10165,cat
101650,truck
101651,airplane
101652,deer
101653,cat
101654,truck
101655,automobile
101656,ship
101657,horse
101658,bird
101659,dog
10166,bird
101660,automobile
101661,frog
101662,dog
101663,bird
101664,dog
101665,airplane
101666,frog
101667,truck
101668,dog
101669,frog
10167,deer
101670,deer
101671,frog
101672,ship
101673,deer
101674,cat
101675,airplane
101676,deer
101677,deer
101678,cat
101679,bird
10168,ship
101680,dog
101681,cat
101682,ship
101683,automobile
101684,ship
101685,ship
101686,deer
101687,frog
101688,horse
101689,automobile
10169,airplane
101690,automobile
101691,frog
101692,bird
101693,ship
101694,truck
101695,truck
101696,frog
101697,deer
101698,cat
101699,deer
1017,truck
10170,cat
101700,dog
101701,deer
101702,automobile
101703,frog
101704,bird
101705,bird
101706,horse
101707,cat
101708,cat
101709,automobile
10171,deer
101710,bird
101711,ship
101712,frog
101713,truck
101714,ship
101715,dog
101716,horse
101717,frog
101718,airplane
101719,horse
10172,deer
101720,deer
101721,horse
101722,cat
101723,dog
101724,automobile
101725,deer
101726,airplane
101727,ship
101728,frog
101729,truck
10173,frog
101730,cat
101731,cat
101732,deer
101733,ship
101734,frog
101735,dog
101736,automobile
101737,automobile
101738,frog
101739,horse
10174,deer
101740,truck
101741,horse
101742,airplane
101743,cat
101744,cat
101745,ship
101746,automobile
101747,frog
101748,dog
101749,truck
10175,deer
101750,deer
101751,frog
101752,cat
101753,cat
101754,airplane
101755,deer
101756,airplane
101757,bird
101758,ship
101759,cat
10176,cat
101760,dog
101761,cat
101762,automobile
101763,frog
101764,truck
101765,horse
101766,truck
101767,deer
101768,ship
101769,cat
10177,dog
101770,cat
101771,cat
101772,deer
101773,automobile
101774,deer
101775,airplane
101776,truck
101777,frog
101778,airplane
101779,bird
10178,deer
101780,ship
101781,bird
101782,ship
101783,truck
101784,cat
101785,horse
101786,ship
101787,automobile
101788,automobile
101789,horse
10179,cat
101790,frog
101791,dog
101792,cat
101793,horse
101794,cat
101795,truck
101796,frog
101797,cat
101798,deer
101799,horse
1018,bird
10180,cat
101800,ship
101801,dog
101802,airplane
101803,deer
101804,frog
101805,bird
101806,dog
101807,truck
101808,ship
101809,cat
10181,frog
101810,airplane
101811,deer
101812,automobile
101813,deer
101814,deer
101815,dog
101816,frog
101817,cat
101818,airplane
101819,dog
10182,deer
101820,cat
101821,truck
101822,deer
101823,frog
101824,deer
101825,horse
101826,frog
101827,bird
101828,cat
101829,dog
10183,bird
101830,dog
101831,bird
101832,automobile
101833,airplane
101834,airplane
101835,dog
101836,ship
101837,frog
101838,cat
101839,horse
10184,bird
101840,dog
101841,automobile
101842,truck
101843,deer
101844,bird
101845,frog
101846,ship
101847,ship
101848,truck
101849,ship
10185,ship
101850,bird
101851,frog
101852,horse
101853,dog
101854,cat
101855,ship
101856,deer
101857,airplane
101858,deer
101859,cat
10186,automobile
101860,deer
101861,bird
101862,deer
101863,airplane
101864,airplane
101865,cat
101866,truck
101867,dog
101868,bird
101869,deer
10187,truck
101870,deer
101871,frog
101872,frog
101873,deer
101874,deer
101875,ship
101876,airplane
101877,dog
101878,airplane
101879,bird
10188,airplane
101880,dog
101881,deer
101882,deer
101883,deer
101884,ship
101885,bird
101886,airplane
101887,truck
101888,cat
101889,bird
10189,dog
101890,bird
101891,airplane
101892,ship
101893,automobile
101894,automobile
