id,label
1,deer
10,dog
100,deer
1000,horse
10000,bird
100000,dog
100001,deer
100002,deer
100003,deer
100004,ship
100005,dog
100006,ship
100007,cat
100008,airplane
100009,truck
10001,dog
100010,horse
100011,dog
100012,airplane
100013,airplane
100014,dog
100015,airplane
100016,dog
100017,ship
100018,truck
100019,cat
10002,bird
100020,dog
100021,cat
100022,ship
100023,automobile
100024,frog
100025,truck
100026,deer
100027,frog
100028,automobile
100029,cat
10003,dog
100030,dog
100031,frog
100032,bird
100033,frog
100034,airplane
100035,deer
100036,dog
100037,deer
100038,dog
100039,airplane
10004,ship
100040,airplane
100041,airplane
100042,cat
100043,dog
100044,ship
100045,dog
100046,deer
100047,bird
100048,frog
100049,ship
10005,dog
100050,cat
100051,dog
100052,deer
100053,truck
100054,automobile
100055,truck
100056,deer
100057,cat
100058,frog
100059,bird
10006,cat
100060,deer
100061,ship
100062,horse
100063,ship
100064,deer
100065,airplane
100066,automobile
100067,cat
100068,truck
100069,dog
10007,horse
100070,ship
100071,automobile
100072,bird
100073,dog
100074,cat
100075,horse
100076,automobile
100077,deer
100078,dog
100079,cat
10008,airplane
100080,dog
100081,airplane
100082,dog
100083,automobile
100084,cat
100085,frog
100086,automobile
100087,dog
100088,horse
100089,deer
10009,deer
100090,automobile
100091,deer
100092,cat
100093,dog
100094,bird
100095,ship
100096,cat
100097,cat
100098,frog
100099,truck
1001,dog
10010,ship
100100,dog
100101,horse
100102,ship
100103,automobile
100104,ship
100105,bird
100106,cat
100107,cat
100108,cat
100109,dog
10011,dog
100110,bird
100111,automobile
100112,cat
100113,bird
100114,cat
100115,cat
100116,truck
100117,airplane
100118,cat
100119,bird
10012,ship
100120,cat
100121,bird
100122,ship
100123,bird
100124,deer
100125,automobile
100126,bird
100127,dog
100128,deer
100129,truck
10013,dog
100130,bird
100131,airplane
100132,cat
100133,deer
100134,cat
100135,dog
100136,dog
100137,airplane
100138,frog
100139,airplane
10014,bird
100140,ship
100141,automobile
100142,dog
100143,cat
100144,ship
100145,deer
100146,ship
100147,ship
100148,deer
100149,dog
10015,frog
100150,automobile
100151,deer
100152,deer
100153,deer
100154,truck
100155,cat
100156,ship
100157,deer
100158,deer
100159,ship
10016,deer
100160,cat
100161,cat
100162,ship
100163,horse
100164,cat
100165,dog
100166,dog
100167,automobile
100168,dog
100169,ship
10017,airplane
100170,dog
100171,cat
100172,truck
100173,automobile
100174,airplane
100175,ship
100176,dog
100177,cat
100178,horse
100179,automobile
10018,cat
100180,truck
100181,truck
100182,deer
100183,deer
100184,dog
100185,deer
100186,cat
100187,airplane
100188,ship
100189,ship
10019,truck
100190,cat
100191,dog
100192,ship
100193,bird
100194,frog
100195,frog
100196,dog
100197,dog
100198,dog
100199,deer
1002,airplane
10020,deer
100200,dog
100201,ship
100202,cat
100203,deer
100204,cat
100205,bird
100206,dog
100207,dog
100208,horse
100209,bird
10021,ship
100210,cat
100211,dog
100212,airplane
100213,bird
100214,dog
100215,frog
100216,truck
100217,truck
100218,deer
100219,ship
10022,airplane
100220,bird
100221,deer
100222,dog
100223,automobile
100224,cat
100225,horse
100226,frog
100227,dog
100228,dog
100229,cat
10023,airplane
100230,dog
100231,cat
100232,deer
100233,airplane
100234,airplane
100235,dog
100236,cat
100237,truck
100238,deer
100239,deer
10024,cat
100240,airplane
100241,ship
100242,ship
100243,truck
100244,frog
100245,bird
100246,cat
100247,frog
100248,ship
100249,deer
10025,deer
100250,cat
100251,cat
100252,airplane
100253,dog
100254,ship
100255,ship
100256,airplane
100257,airplane
100258,cat
100259,bird
10026,dog
100260,bird
100261,dog
100262,truck
100263,automobile
100264,bird
100265,deer
100266,ship
100267,airplane
100268,truck
100269,bird
10027,ship
100270,frog
100271,ship
100272,airplane
100273,horse
100274,truck
100275,automobile
100276,bird
100277,cat
100278,cat
100279,dog
10028,horse
100280,frog
100281,truck
100282,deer
100283,deer
100284,cat
100285,automobile
100286,ship
100287,airplane
100288,cat
100289,bird
10029,deer
100290,cat
100291,truck
100292,truck
100293,airplane
100294,ship
100295,deer
100296,cat
100297,cat
100298,deer
100299,airplane
1003,cat
10030,horse
100300,horse
100301,dog
100302,bird
100303,cat
100304,dog
100305,ship
100306,dog
100307,truck
100308,frog
100309,truck
10031,cat
100310,deer
100311,deer
100312,deer
100313,cat
100314,automobile
100315,truck
100316,frog
100317,bird
100318,automobile
100319,truck
10032,bird
100320,deer
100321,dog
100322,frog
100323,horse
100324,horse
100325,deer
100326,dog
100327,frog
100328,dog
100329,dog
10033,automobile
100330,ship
100331,dog
100332,truck
100333,deer
100334,dog
100335,automobile
100336,ship
100337,dog
100338,cat
100339,cat
10034,ship
100340,automobile
100341,deer
100342,deer
100343,dog
100344,automobile
100345,dog
100346,horse
100347,dog
100348,bird
100349,cat
10035,cat
100350,deer
100351,frog
100352,deer
100353,frog
100354,deer
100355,airplane
100356,truck
100357,frog
100358,airplane
100359,ship
10036,bird
100360,truck
100361,truck
100362,deer
100363,horse
100364,deer
100365,horse
100366,horse
100367,bird
100368,horse
100369,airplane
10037,airplane
100370,cat
100371,truck
100372,cat
100373,ship
100374,cat
100375,horse
100376,automobile
100377,cat
100378,deer
100379,ship
10038,deer
100380,cat
100381,horse
100382,deer
100383,bird
100384,cat
100385,truck
100386,truck
100387,automobile
100388,automobile
100389,horse
10039,horse
100390,airplane
100391,cat
100392,frog
100393,dog
100394,airplane
100395,deer
100396,airplane
100397,ship
100398,dog
100399,deer
1004,cat
10040,cat
100400,airplane
100401,airplane
100402,truck
100403,frog
100404,deer
100405,ship
100406,bird
100407,deer
100408,airplane
100409,dog
10041,deer
100410,frog
100411,truck
100412,cat
100413,dog
100414,bird
100415,bird
100416,truck
100417,ship
100418,cat
100419,dog
10042,ship
100420,truck
100421,horse
100422,dog
100423,bird
100424,cat
100425,frog
100426,bird
100427,ship
100428,automobile
100429,ship
10043,ship
100430,cat
100431,cat
100432,automobile
100433,truck
100434,ship
100435,dog
100436,deer
100437,ship
100438,ship
100439,deer
10044,bird
100440,truck
100441,deer
100442,dog
100443,cat
100444,horse
100445,automobile
100446,ship
100447,deer
100448,bird
100449,truck
10045,automobile
100450,horse
100451,dog
100452,frog
100453,bird
100454,cat
100455,deer
100456,deer
100457,truck
100458,deer
100459,dog
10046,deer
100460,ship
100461,dog
100462,deer
100463,dog
100464,truck
100465,cat
100466,bird
100467,horse
100468,cat
100469,cat
10047,deer
100470,bird
100471,ship
100472,truck
100473,dog
100474,horse
100475,dog
100476,cat
100477,deer
100478,automobile
100479,dog
10048,frog
100480,dog
100481,truck
100482,dog
100483,horse
100484,automobile
100485,dog
100486,horse
100487,bird
100488,frog
100489,cat
10049,automobile
100490,automobile
100491,deer
100492,dog
100493,deer
100494,dog
100495,cat
100496,ship
100497,cat
100498,dog
100499,frog
1005,cat
10050,automobile
100500,airplane
100501,dog
100502,truck
100503,cat
100504,cat
100505,cat
100506,airplane
100507,cat
100508,airplane
100509,cat
10051,dog
100510,ship
100511,cat
100512,airplane
100513,cat
100514,frog
100515,airplane
100516,deer
100517,frog
100518,frog
100519,ship
10052,dog
100520,dog
100521,truck
100522,cat
100523,bird
100524,cat
100525,airplane
100526,cat
100527,deer
100528,dog
100529,truck
10053,airplane
100530,cat
100531,ship
100532,cat
100533,dog
100534,frog
100535,truck
100536,dog
100537,airplane
100538,ship
100539,cat
10054,airplane
100540,ship
100541,cat
100542,dog
100543,ship
100544,dog
100545,dog
100546,ship
100547,deer
100548,cat
100549,dog
10055,ship
100550,dog
100551,deer
100552,cat
100553,horse
100554,deer
100555,cat
100556,dog
100557,airplane
100558,horse
100559,automobile
10056,ship
100560,cat
100561,automobile
100562,bird
100563,horse
100564,truck
100565,cat
100566,airplane
100567,frog
100568,ship
100569,deer
10057,cat
100570,dog
100571,automobile
100572,ship
100573,cat
100574,truck
100575,ship
100576,cat
100577,cat
100578,frog
100579,cat
10058,airplane
100580,deer
100581,horse
100582,horse
100583,deer
100584,ship
100585,dog
100586,frog
100587,airplane
100588,airplane
100589,ship
10059,ship
100590,cat
100591,deer
100592,automobile
100593,automobile
100594,deer
100595,dog
100596,airplane
100597,bird
100598,bird
100599,cat
1006,dog
10060,horse
100600,horse
100601,deer
100602,cat
100603,horse
100604,airplane
100605,ship
100606,dog
100607,frog
100608,ship
100609,airplane
10061,automobile
100610,dog
100611,cat
100612,cat
100613,deer
100614,automobile
100615,cat
100616,dog
100617,automobile
100618,truck
100619,frog
10062,automobile
100620,deer
100621,deer
100622,truck
100623,bird
100624,airplane
100625,automobile
100626,dog
100627,deer
100628,cat
100629,airplane
10063,horse
100630,horse
100631,deer
100632,cat
100633,cat
100634,automobile
100635,dog
100636,airplane
100637,truck
100638,horse
100639,cat
10064,cat
100640,truck
100641,deer
100642,cat
100643,cat
100644,airplane
100645,cat
100646,deer
100647,dog
100648,cat
100649,ship
10065,ship
100650,ship
100651,dog
100652,ship
100653,horse
100654,dog
100655,dog
100656,airplane
100657,deer
100658,dog
100659,bird
10066,cat
100660,deer
100661,dog
100662,ship
100663,ship
100664,frog
100665,cat
100666,cat
100667,cat
100668,bird
100669,cat
10067,airplane
100670,ship
100671,cat
100672,cat
100673,horse
100674,deer
100675,frog
100676,horse
100677,frog
100678,bird
100679,dog
10068,dog
100680,bird
100681,dog
100682,dog
100683,frog
100684,frog
100685,truck
100686,automobile
100687,frog
100688,airplane
100689,ship
10069,automobile
100690,frog
100691,horse
100692,cat
100693,cat
100694,dog
100695,frog
100696,dog
100697,ship
100698,cat
100699,cat
1007,ship
10070,frog
100700,dog
100701,dog
100702,airplane
100703,cat
100704,airplane
100705,cat
100706,dog
100707,cat
100708,deer
100709,dog
10071,deer
100710,cat
100711,automobile
100712,cat
100713,cat
100714,frog
100715,cat
100716,dog
100717,truck
100718,deer
100719,deer
10072,ship
100720,airplane
100721,ship
100722,ship
100723,deer
100724,dog
100725,frog
100726,dog
100727,automobile
100728,frog
100729,cat
10073,dog
100730,airplane
100731,dog
100732,deer
100733,dog
100734,automobile
100735,deer
100736,cat
100737,deer
100738,dog
100739,automobile
10074,horse
100740,dog
100741,dog
100742,cat
100743,deer
100744,bird
100745,ship
100746,bird
100747,automobile
100748,automobile
100749,deer
10075,dog
100750,cat
100751,ship
100752,cat
100753,airplane
100754,cat
100755,automobile
100756,dog
100757,horse
100758,cat
100759,cat
10076,bird
100760,airplane
100761,bird
100762,deer
100763,airplane
100764,cat
100765,dog
100766,truck
100767,truck
100768,horse
100769,cat
10077,dog
100770,cat
100771,airplane
100772,bird
100773,cat
100774,cat
100775,dog
100776,deer
100777,bird
100778,truck
100779,ship
10078,dog
100780,horse
100781,dog
100782,horse
100783,cat
100784,ship
100785,dog
100786,dog
100787,bird
100788,bird
100789,horse
10079,dog
100790,dog
100791,cat
100792,cat
100793,automobile
100794,truck
100795,deer
100796,ship
100797,cat
100798,deer
100799,dog
1008,automobile
10080,automobile
100800,ship
100801,frog
100802,frog
100803,deer
100804,bird
100805,bird
100806,horse
100807,deer
100808,deer
100809,cat
10081,automobile
100810,dog
100811,cat
100812,airplane
100813,deer
100814,frog
100815,cat
100816,dog
100817,dog
100818,automobile
100819,dog
10082,bird
100820,dog
100821,airplane
100822,automobile
100823,deer
100824,dog
100825,horse
100826,frog
100827,cat
100828,dog
100829,dog
10083,horse
100830,bird
100831,cat
100832,deer
100833,dog
100834,deer
100835,dog
100836,ship
100837,dog
100838,ship
100839,ship
10084,cat
100840,truck
100841,deer
100842,bird
100843,horse
100844,dog
100845,airplane
100846,airplane
100847,frog
100848,frog
100849,bird
10085,ship
100850,frog
100851,dog
100852,bird
100853,dog
100854,automobile
100855,cat
100856,dog
100857,dog
100858,ship
100859,cat
10086,ship
100860,dog
100861,airplane
100862,deer
100863,deer
100864,cat
100865,cat
100866,cat
100867,deer
100868,horse
100869,frog
10087,ship
100870,automobile
100871,horse
100872,horse
100873,cat
100874,airplane
100875,dog
100876,cat
100877,automobile
100878,cat
100879,automobile
10088,deer
100880,airplane
100881,cat
100882,automobile
100883,truck
100884,frog
100885,cat
100886,deer
100887,dog
100888,ship
100889,truck
10089,ship
100890,deer
100891,cat
100892,cat
100893,automobile
100894,frog
100895,cat
100896,dog
100897,cat
100898,bird
100899,truck
1009,automobile
10090,dog
100900,airplane
100901,dog
100902,dog
100903,deer
100904,bird
100905,cat
100906,cat
100907,truck
100908,deer
100909,deer
10091,ship
100910,airplane
100911,truck
100912,cat
100913,bird
100914,dog
100915,dog
100916,cat
100917,truck
100918,airplane
100919,cat
10092,cat
100920,horse
100921,horse
100922,cat
100923,bird
100924,bird
100925,dog
100926,airplane
100927,dog
100928,deer
100929,ship
10093,cat
100930,deer
100931,cat
100932,automobile
100933,bird
100934,cat
100935,dog
100936,horse
100937,ship
100938,cat
100939,horse
10094,cat
100940,horse
100941,automobile
100942,horse
100943,automobile
100944,automobile
100945,automobile
100946,cat
100947,cat
100948,deer
100949,ship
10095,bird
100950,ship
100951,automobile
100952,truck
100953,airplane
100954,airplane
100955,bird
100956,frog
100957,horse
100958,frog
100959,frog
10096,deer
100960,cat
100961,dog
100962,dog
100963,truck
100964,frog
100965,horse
100966,dog
100967,deer
100968,ship
100969,dog
10097,dog
100970,ship
100971,ship
100972,dog
100973,cat
100974,bird
100975,cat
100976,ship
100977,cat
100978,airplane
100979,automobile
10098,airplane
100980,truck
100981,airplane
100982,cat
100983,bird
100984,horse
100985,automobile
100986,deer
100987,automobile
100988,deer
100989,horse
10099,bird
100990,deer
100991,ship
100992,automobile
100993,dog
100994,truck
100995,truck
100996,bird
100997,dog
100998,horse
100999,airplane
101,deer
1010,dog
10100,dog
101000,cat
101001,bird
101002,truck
101003,truck
101004,cat
101005,deer
101006,automobile
101007,dog
101008,cat
101009,bird
10101,dog
101010,ship
101011,deer
101012,horse
101013,bird
101014,horse
101015,deer
101016,ship
101017,truck
101018,deer
101019,airplane
10102,truck
101020,dog
101021,truck
101022,truck
101023,dog
101024,cat
101025,bird
101026,bird
101027,airplane
101028,dog
101029,ship
10103,deer
101030,dog
101031,airplane
101032,dog
101033,bird
101034,cat
101035,truck
101036,bird
101037,deer
101038,dog
101039,bird
10104,bird
101040,cat
101041,truck
101042,dog
101043,automobile
101044,dog
101045,truck
101046,cat
101047,truck
101048,cat
101049,cat
10105,cat
101050,bird
101051,cat
101052,frog
101053,bird
101054,deer
101055,cat
101056,bird
101057,deer
101058,dog
101059,bird
10106,cat
101060,truck
101061,bird
101062,cat
101063,airplane
101064,deer
101065,bird
101066,dog
101067,dog
101068,ship
101069,airplane
10107,truck
101070,bird
101071,cat
101072,horse
101073,cat
101074,frog
101075,truck
101076,airplane
101077,automobile
101078,deer
101079,horse
10108,automobile
101080,cat
101081,deer
101082,cat
101083,truck
101084,cat
101085,cat
101086,cat
101087,cat
101088,deer
101089,cat
10109,dog
101090,dog
101091,ship
101092,dog
101093,bird
101094,cat
101095,cat
101096,dog
101097,cat
101098,dog
101099,ship
1011,dog
10110,cat
101100,cat
101101,deer
101102,dog
101103,dog
101104,truck
101105,ship
101106,cat
101107,cat
101108,dog
101109,ship
10111,ship
101110,frog
101111,bird
101112,frog
101113,dog
101114,frog
101115,deer
101116,deer
101117,frog
101118,cat
101119,cat
10112,ship
101120,truck
101121,dog
101122,bird
101123,dog
101124,cat
101125,cat
101126,dog
101127,automobile
101128,deer
101129,cat
10113,dog
101130,frog
101131,cat
101132,dog
101133,bird
101134,frog
101135,dog
101136,ship
101137,truck
101138,cat
101139,deer
10114,horse
101140,airplane
101141,dog
101142,cat
101143,horse
101144,dog
101145,ship
101146,dog
101147,cat
101148,horse
101149,deer
10115,dog
101150,dog
101151,cat
101152,airplane
101153,frog
101154,airplane
101155,frog
101156,deer
101157,dog
101158,truck
101159,deer
10116,ship
101160,dog
101161,ship
101162,ship
101163,ship
101164,deer
101165,dog
101166,deer
101167,frog
101168,frog
101169,deer
10117,frog
101170,dog
101171,automobile
101172,automobile
101173,dog
101174,frog
101175,ship
101176,cat
101177,dog
101178,truck
101179,dog
10118,cat
101180,ship
101181,dog
101182,cat
101183,horse
101184,bird
101185,cat
101186,ship
101187,automobile
101188,frog
101189,bird
10119,ship
101190,truck
101191,cat
101192,deer
101193,dog
101194,ship
101195,bird
101196,dog
101197,ship
101198,dog
101199,dog
1012,deer
10120,dog
101200,automobile
101201,ship
101202,airplane
101203,cat
101204,ship
101205,cat
101206,horse
101207,cat
101208,airplane
101209,dog
10121,ship
101210,dog
101211,airplane
101212,frog
101213,automobile
101214,bird
101215,dog
101216,automobile
101217,truck
101218,frog
101219,cat
10122,deer
101220,deer
101221,airplane
101222,ship
101223,deer
101224,airplane
101225,ship
101226,deer
101227,airplane
101228,deer
101229,cat
10123,ship
101230,dog
101231,ship
101232,truck
101233,cat
101234,automobile
101235,frog
101236,cat
101237,cat
101238,horse
101239,bird
10124,dog
101240,deer
101241,dog
101242,deer
101243,horse
101244,dog
101245,frog
101246,dog
101247,dog
101248,cat
101249,dog
10125,bird
101250,dog
101251,cat
101252,deer
101253,cat
101254,ship
101255,airplane
101256,automobile
101257,cat
101258,airplane
101259,dog
10126,horse
101260,ship
101261,deer
101262,frog
101263,cat
101264,dog
101265,frog
101266,cat
101267,cat
101268,horse
101269,cat
10127,dog
101270,cat
101271,horse
101272,airplane
101273,bird
101274,deer
101275,automobile
101276,dog
101277,dog
101278,cat
101279,dog
10128,bird
101280,truck
101281,airplane
101282,airplane
101283,frog
101284,airplane
101285,truck
101286,dog
101287,frog
101288,dog
101289,dog
10129,automobile
101290,cat
101291,truck
101292,bird
101293,horse
101294,bird
101295,deer
101296,dog
101297,dog
101298,cat
101299,bird
1013,cat
10130,cat
101300,dog
101301,frog
101302,frog
101303,bird
101304,ship
101305,cat
101306,ship
101307,bird
101308,dog
101309,cat
10131,truck
101310,bird
101311,airplane
101312,cat
101313,ship
101314,ship
101315,horse
101316,bird
101317,cat
101318,automobile
101319,deer
10132,ship
101320,ship
101321,dog
101322,ship
101323,deer
101324,cat
101325,airplane
101326,cat
101327,dog
101328,ship
101329,frog
10133,cat
101330,cat
101331,automobile
101332,dog
101333,cat
101334,cat
101335,ship
101336,cat
101337,bird
101338,bird
101339,frog
10134,horse
101340,truck
101341,deer
101342,cat
101343,dog
101344,dog
101345,truck
101346,cat
101347,ship
101348,ship
101349,bird
10135,bird
101350,bird
101351,truck
101352,dog
101353,cat
101354,deer
101355,ship
101356,airplane
101357,ship
101358,deer
101359,dog
10136,airplane
101360,dog
101361,dog
101362,cat
101363,dog
101364,cat
101365,dog
101366,truck
101367,airplane
101368,cat
101369,airplane
10137,horse
101370,cat
101371,ship
101372,bird
101373,bird
101374,dog
101375,ship
101376,truck
101377,airplane
101378,airplane
101379,dog
10138,truck
101380,cat
101381,cat
101382,ship
101383,cat
101384,cat
101385,cat
101386,bird
101387,deer
101388,cat
101389,ship
10139,truck
101390,cat
101391,automobile
101392,dog
101393,automobile
101394,dog
101395,dog
101396,horse
101397,ship
101398,deer
101399,dog
1014,airplane
10140,dog
101400,bird
101401,bird
101402,dog
101403,frog
101404,dog
101405,deer
101406,dog
101407,ship
101408,horse
101409,bird
10141,automobile
101410,ship
101411,frog
101412,dog
101413,bird
101414,dog
101415,dog
101416,cat
101417,airplane
101418,deer
101419,ship
10142,cat
101420,automobile
101421,automobile
101422,cat
101423,cat
101424,ship
101425,deer
101426,dog
101427,cat
101428,bird
101429,bird
10143,deer
101430,cat
101431,frog
101432,bird
101433,airplane
101434,cat
101435,truck
101436,horse
101437,bird
101438,ship
101439,cat
10144,automobile
101440,automobile
101441,dog
101442,cat
101443,ship
101444,deer
101445,dog
101446,airplane
101447,ship
101448,ship
101449,ship
10145,frog
101450,horse
101451,frog
101452,dog
101453,airplane
101454,cat
101455,horse
101456,automobile
101457,ship
101458,ship
101459,dog
10146,airplane
101460,automobile
101461,cat
101462,ship
101463,automobile
101464,bird
101465,dog
101466,cat
101467,cat
101468,dog
101469,cat
10147,dog
101470,ship
101471,automobile
101472,frog
101473,ship
101474,deer
101475,dog
101476,bird
101477,cat
101478,deer
101479,cat
10148,ship
101480,dog
101481,ship
101482,cat
101483,deer
101484,dog
101485,dog
101486,bird
101487,ship
101488,horse
101489,dog
10149,horse
101490,bird
101491,ship
101492,bird
101493,deer
101494,deer
101495,dog
101496,dog
101497,deer
101498,airplane
101499,cat
1015,cat
10150,frog
101500,bird
101501,ship
101502,dog
101503,cat
101504,airplane
101505,automobile
101506,deer
101507,bird
101508,automobile
101509,dog
10151,airplane
101510,dog
101511,cat
101512,truck
101513,dog
101514,dog
101515,bird
101516,deer
101517,horse
101518,horse
101519,dog
10152,truck
101520,ship
101521,cat
101522,airplane
101523,ship
101524,horse
101525,truck
101526,deer
101527,cat
101528,cat
101529,cat
10153,automobile
101530,cat
101531,automobile
101532,automobile
101533,truck
101534,deer
101535,automobile
101536,frog
101537,cat
101538,automobile
101539,deer
10154,ship
101540,cat
101541,ship
101542,ship
101543,airplane
101544,automobile
101545,truck
101546,automobile
101547,dog
101548,dog
101549,cat
10155,cat
101550,dog
101551,deer
101552,frog
101553,horse
101554,ship
101555,deer
101556,bird
101557,dog
101558,cat
101559,airplane
10156,cat
101560,truck
101561,frog
101562,cat
101563,airplane
101564,cat
101565,automobile
101566,frog
101567,dog
101568,automobile
101569,airplane
10157,cat
101570,dog
101571,bird
101572,deer
101573,frog
101574,ship
101575,cat
101576,cat
101577,cat
101578,deer
101579,bird
10158,airplane
101580,truck
101581,dog
101582,deer
101583,frog
101584,automobile
101585,frog
101586,cat
101587,frog
101588,cat
101589,dog
10159,horse
101590,dog
101591,horse
101592,airplane
101593,ship
101594,horse
101595,dog
101596,frog
101597,ship
101598,cat
101599,dog
1016,horse
10160,deer
101600,cat
101601,truck
101602,ship
101603,cat
101604,frog
101605,dog
101606,dog
101607,frog
101608,cat
101609,frog
10161,cat
101610,airplane
101611,frog
101612,airplane
101613,dog
101614,deer
101615,ship
101616,frog
101617,ship
101618,dog
101619,deer
10162,dog
101620,dog
101621,truck
101622,deer
101623,dog
101624,frog
101625,airplane
101626,cat
101627,dog
101628,ship
101629,cat
10163,truck
101630,ship
101631,airplane
101632,airplane
101633,horse
101634,ship
101635,automobile
101636,horse
101637,bird
101638,deer
101639,bird
10164,frog
101640,deer
101641,horse
101642,automobile
101643,bird
101644,ship
101645,ship
101646,horse
101647,automobile
101648,airplane
101649,cat
10165,cat
101650,truck
101651,cat
101652,cat
101653,cat
101654,truck
101655,automobile
101656,ship
101657,dog
101658,deer
101659,dog
10166,dog
101660,automobile
101661,dog
101662,dog
101663,horse
101664,dog
101665,deer
101666,cat
101667,truck
101668,dog
101669,frog
10167,deer
101670,deer
101671,frog
101672,ship
101673,deer
101674,cat
101675,truck
101676,deer
101677,cat
101678,cat
101679,bird
10168,ship
101680,cat
101681,dog
101682,ship
101683,ship
101684,ship
101685,ship
101686,bird
101687,frog
101688,horse
101689,automobile
10169,dog
101690,automobile
101691,frog
101692,bird
101693,ship
101694,automobile
101695,truck
101696,frog
101697,deer
101698,cat
101699,deer
1017,ship
10170,cat
101700,dog
101701,deer
101702,automobile
101703,frog
101704,bird
101705,dog
101706,horse
101707,truck
101708,dog
101709,automobile
10171,deer
101710,cat
101711,ship
101712,ship
101713,truck
101714,airplane
101715,bird
101716,deer
101717,cat
101718,airplane
101719,horse
10172,deer
101720,dog
101721,horse
101722,cat
101723,cat
101724,dog
101725,cat
101726,airplane
101727,cat
101728,frog
101729,truck
10173,frog
101730,airplane
101731,cat
101732,cat
101733,ship
101734,deer
101735,dog
101736,truck
101737,automobile
101738,bird
101739,cat
10174,deer
101740,airplane
101741,cat
101742,airplane
101743,dog
101744,dog
101745,ship
101746,automobile
101747,deer
101748,dog
101749,automobile
10175,deer
101750,dog
101751,frog
101752,cat
101753,ship
101754,airplane
101755,cat
101756,airplane
101757,dog
101758,cat
101759,cat
10176,cat
101760,dog
101761,cat
101762,cat
101763,horse
101764,truck
101765,dog
101766,truck
101767,dog
101768,ship
101769,horse
10177,dog
101770,cat
101771,cat
101772,deer
101773,automobile
101774,cat
101775,airplane
101776,cat
101777,frog
101778,airplane
101779,ship
10178,deer
101780,airplane
101781,dog
101782,ship
101783,automobile
101784,cat
101785,cat
101786,ship
101787,automobile
101788,truck
101789,cat
10179,dog
101790,frog
101791,dog
101792,cat
101793,horse
101794,cat
101795,automobile
101796,dog
101797,cat
101798,horse
101799,horse
1018,bird
10180,cat
101800,ship
101801,bird
101802,airplane
101803,horse
101804,frog
101805,bird
101806,dog
101807,truck
101808,ship
101809,truck
10181,bird
101810,airplane
101811,bird
101812,ship
101813,cat
101814,deer
101815,dog
101816,frog
101817,dog
101818,airplane
101819,dog
10182,deer
101820,cat
101821,cat
101822,deer
101823,frog
101824,ship
101825,horse
101826,frog
101827,bird
101828,cat
101829,dog
10183,dog
101830,cat
101831,dog
101832,automobile
101833,airplane
101834,airplane
101835,dog
101836,ship
101837,cat
101838,cat
101839,horse
10184,frog
101840,cat
101841,truck
101842,truck
101843,deer
101844,cat
101845,cat
101846,ship
101847,ship
101848,automobile
101849,ship
10185,ship
101850,dog
101851,frog
101852,deer
101853,deer
101854,cat
101855,ship
101856,deer
101857,airplane
101858,bird
101859,horse
10186,automobile
101860,frog
101861,dog
101862,dog
101863,horse
101864,airplane
101865,cat
101866,truck
101867,dog
101868,bird
101869,horse
10187,truck
101870,deer
101871,dog
101872,frog
101873,deer
101874,deer
101875,ship
101876,airplane
101877,cat
101878,airplane
101879,ship
10188,airplane
101880,cat
101881,cat
101882,deer
101883,airplane
101884,ship
101885,bird
101886,airplane
101887,truck
101888,cat
101889,cat
10189,cat
101890,cat
101891,airplane
101892,ship
101893,ship
101894,truck
101895,cat
101896,dog
101897,cat
101898,cat
101899,cat
