id,label
1,bird
10,cat
100,bird
1000,truck
10000,deer
100000,dog
100001,deer
100002,airplane
100003,frog
100004,automobile
100005,frog
100006,automobile
100007,frog
100008,airplane
100009,truck
10001,dog
100010,horse
100011,dog
100012,truck
100013,airplane
100014,cat
100015,airplane
100016,cat
100017,automobile
100018,truck
100019,cat
10002,bird
100020,bird
100021,horse
100022,ship
100023,automobile
100024,automobile
100025,truck
100026,deer
100027,frog
100028,automobile
100029,cat
10003,dog
100030,cat
100031,frog
100032,bird
100033,frog
100034,airplane
100035,deer
100036,cat
100037,deer
100038,dog
100039,airplane
10004,airplane
100040,airplane
100041,airplane
100042,cat
100043,bird
100044,ship
100045,dog
100046,deer
100047,cat
100048,frog
100049,airplane
10005,cat
100050,cat
100051,dog
100052,deer
100053,truck
100054,truck
100055,truck
100056,frog
100057,dog
100058,frog
100059,bird
10006,airplane
100060,deer
100061,ship
100062,cat
100063,airplane
100064,deer
100065,airplane
100066,automobile
100067,cat
100068,truck
100069,horse
10007,truck
100070,ship
100071,automobile
100072,airplane
100073,dog
100074,frog
100075,horse
100076,automobile
100077,cat
100078,bird
100079,frog
10008,horse
100080,horse
100081,airplane
100082,deer
100083,automobile
100084,cat
100085,frog
100086,automobile
100087,cat
100088,horse
100089,deer
10009,deer
100090,automobile
100091,cat
100092,cat
100093,cat
100094,bird
100095,ship
100096,cat
100097,bird
100098,frog
100099,truck
1001,bird
10010,ship
100100,dog
100101,horse
100102,cat
100103,automobile
100104,airplane
100105,dog
100106,cat
100107,bird
100108,cat
100109,deer
10011,dog
100110,bird
100111,automobile
100112,cat
100113,cat
100114,deer
100115,dog
100116,automobile
100117,airplane
100118,cat
100119,deer
10012,bird
100120,cat
100121,deer
100122,ship
100123,automobile
100124,deer
100125,automobile
100126,cat
100127,cat
100128,deer
100129,truck
10013,bird
100130,bird
100131,airplane
100132,cat
100133,bird
100134,cat
100135,dog
100136,dog
100137,airplane
100138,frog
100139,airplane
10014,bird
100140,airplane
100141,automobile
100142,dog
100143,horse
100144,ship
100145,deer
100146,automobile
100147,ship
100148,deer
100149,cat
10015,frog
100150,automobile
100151,deer
100152,deer
100153,bird
100154,truck
100155,deer
100156,ship
100157,deer
100158,deer
100159,ship
10016,frog
100160,automobile
100161,bird
100162,airplane
100163,deer
100164,cat
100165,dog
100166,cat
100167,automobile
100168,frog
100169,automobile
10017,airplane
100170,automobile
100171,cat
100172,truck
100173,truck
100174,airplane
100175,ship
100176,dog
100177,frog
100178,bird
100179,automobile
10018,cat
100180,truck
100181,truck
100182,deer
100183,deer
100184,cat
100185,deer
100186,cat
100187,airplane
100188,airplane
100189,ship
10019,automobile
100190,bird
100191,truck
100192,airplane
100193,bird
100194,frog
100195,frog
100196,cat
100197,dog
100198,cat
100199,bird
1002,airplane
10020,deer
100200,dog
100201,ship
100202,deer
100203,frog
100204,cat
100205,bird
100206,dog
100207,cat
100208,airplane
100209,cat
10021,bird
100210,cat
100211,deer
100212,airplane
100213,bird
100214,dog
100215,frog
100216,truck
100217,truck
100218,deer
100219,ship
10022,airplane
100220,frog
100221,deer
100222,automobile
100223,automobile
100224,truck
100225,deer
100226,frog
100227,bird
100228,horse
100229,cat
10023,airplane
100230,dog
100231,cat
100232,frog
100233,airplane
100234,airplane
100235,dog
100236,truck
100237,truck
100238,deer
100239,deer
10024,cat
100240,airplane
100241,ship
100242,ship
100243,truck
100244,frog
100245,bird
100246,cat
100247,frog
100248,truck
100249,bird
10025,deer
100250,airplane
100251,cat
100252,airplane
100253,dog
100254,truck
100255,airplane
100256,airplane
100257,airplane
100258,cat
100259,bird
10026,frog
100260,bird
100261,cat
100262,truck
100263,automobile
100264,airplane
100265,cat
100266,ship
100267,airplane
100268,truck
100269,bird
10027,ship
100270,frog
100271,dog
100272,ship
100273,deer
100274,truck
100275,automobile
100276,bird
100277,frog
100278,ship
100279,dog
10028,horse
100280,frog
100281,truck
100282,deer
100283,deer
100284,cat
100285,automobile
100286,ship
100287,ship
100288,automobile
100289,bird
10029,deer
100290,cat
100291,truck
100292,truck
100293,airplane
100294,ship
100295,deer
100296,horse
100297,cat
100298,deer
100299,airplane
1003,cat
10030,cat
100300,deer
100301,deer
100302,bird
100303,cat
100304,horse
100305,automobile
100306,dog
100307,truck
100308,frog
100309,truck
10031,bird
100310,deer
100311,frog
100312,deer
100313,cat
100314,automobile
100315,truck
100316,frog
100317,deer
100318,automobile
100319,truck
10032,airplane
100320,deer
100321,dog
100322,frog
100323,truck
100324,horse
100325,cat
100326,deer
100327,frog
100328,dog
100329,frog
10033,automobile
100330,automobile
100331,cat
100332,airplane
100333,frog
100334,automobile
100335,automobile
100336,ship
100337,deer
100338,cat
100339,frog
10034,truck
100340,automobile
100341,deer
100342,deer
100343,dog
100344,automobile
100345,dog
100346,horse
100347,frog
100348,bird
100349,cat
10035,cat
100350,deer
100351,frog
100352,deer
100353,frog
100354,deer
100355,airplane
100356,truck
100357,frog
100358,airplane
100359,ship
10036,bird
100360,truck
100361,truck
100362,deer
100363,horse
100364,deer
100365,horse
100366,horse
100367,bird
100368,horse
100369,airplane
10037,airplane
100370,horse
100371,automobile
100372,bird
100373,ship
100374,cat
100375,airplane
100376,automobile
100377,cat
100378,cat
100379,ship
10038,deer
100380,cat
100381,horse
100382,deer
100383,frog
100384,horse
100385,truck
100386,truck
100387,automobile
100388,automobile
100389,horse
10039,horse
100390,airplane
100391,cat
100392,frog
100393,cat
100394,airplane
100395,deer
100396,ship
100397,ship
100398,cat
100399,frog
1004,bird
10040,frog
100400,airplane
100401,airplane
100402,truck
100403,frog
100404,deer
100405,ship
100406,bird
100407,airplane
100408,airplane
100409,dog
10041,deer
100410,frog
100411,truck
100412,truck
100413,dog
100414,bird
100415,bird
100416,truck
100417,ship
100418,cat
100419,bird
10042,deer
100420,truck
100421,horse
100422,cat
100423,bird
100424,cat
100425,frog
100426,cat
100427,deer
100428,automobile
100429,ship
10043,bird
100430,cat
100431,cat
100432,automobile
100433,truck
100434,ship
100435,bird
100436,deer
100437,ship
100438,ship
100439,deer
10044,deer
100440,truck
100441,deer
100442,dog
100443,cat
100444,horse
100445,automobile
100446,airplane
100447,deer
100448,airplane
100449,truck
10045,automobile
100450,horse
100451,frog
100452,frog
100453,bird
100454,cat
100455,deer
100456,deer
100457,truck
100458,deer
100459,cat
10046,deer
100460,ship
100461,dog
100462,deer
100463,dog
100464,truck
100465,bird
100466,bird
100467,horse
100468,cat
100469,truck
10047,deer
100470,bird
100471,ship
100472,truck
100473,cat
100474,horse
100475,cat
100476,cat
100477,frog
100478,automobile
100479,dog
10048,frog
100480,bird
100481,airplane
100482,bird
100483,truck
100484,automobile
100485,dog
100486,horse
100487,bird
100488,frog
100489,bird
10049,truck
100490,automobile
100491,cat
100492,cat
100493,deer
100494,bird
100495,dog
100496,bird
100497,cat
100498,cat
100499,frog
1005,cat
10050,truck
100500,airplane
100501,ship
100502,truck
100503,ship
100504,cat
100505,cat
100506,airplane
100507,cat
100508,airplane
100509,airplane
10051,dog
100510,cat
100511,automobile
100512,deer
100513,cat
100514,frog
100515,airplane
100516,bird
100517,frog
100518,frog
100519,ship
10052,cat
100520,dog
100521,truck
100522,deer
100523,bird
100524,airplane
100525,frog
100526,cat
100527,horse
100528,dog
100529,truck
10053,airplane
100530,automobile
100531,truck
100532,ship
100533,bird
