id,label
1,ship
2,frog
3,cat
4,ship
5,frog
6,cat
7,frog
8,bird
9,truck
10,deer
11,horse
12,dog
13,ship
14,dog
15,airplane
16,bird
17,bird
18,cat
19,ship
20,cat
21,ship
22,truck
23,truck
24,cat
25,automobile
26,bird
27,airplane
28,bird
29,frog
30,deer
31,dog
32,truck
33,dog
34,deer
35,dog
36,cat
37,horse
38,deer
39,ship
40,ship
41,airplane
42,automobile
43,deer
44,ship
45,cat
46,airplane
47,dog
48,ship
49,deer
50,automobile
51,bird
52,deer
53,frog
54,bird
55,airplane
56,ship
57,frog
58,airplane
59,cat
60,cat
61,deer
62,airplane
63,frog
64,bird
65,cat
66,frog
67,truck
68,automobile
69,truck
70,truck
71,frog
72,bird
73,cat
74,deer
75,cat
76,airplane
77,deer
78,horse
79,frog
80,frog
81,airplane
82,ship
83,bird
84,deer
85,deer
86,ship
87,dog
88,frog
89,cat
90,dog
91,automobile
92,dog
93,bird
94,ship
95,cat
96,frog
97,airplane
98,frog
99,horse
100,deer
101,horse
102,cat
103,frog
104,horse
105,cat
106,ship
107,cat
108,airplane
109,deer
110,dog
111,deer
112,airplane
113,frog
114,airplane
115,deer
116,airplane
117,deer
118,truck
119,deer
120,airplane
121,cat
122,frog
123,deer
124,dog
125,bird
126,deer
127,deer
128,cat
129,bird
130,deer
131,deer
132,deer
133,ship
134,frog
135,cat
136,ship
137,frog
138,bird
139,frog
140,cat
141,airplane
142,frog
143,airplane
144,airplane
145,horse
146,truck
147,frog
148,truck
149,deer
150,horse
151,deer
152,frog
153,truck
154,ship
155,ship
156,airplane
157,ship
158,dog
159,ship
160,airplane
161,cat
162,bird
163,frog
164,dog
165,airplane
166,frog
167,airplane
168,dog
169,airplane
170,dog
171,horse
172,frog
173,bird
174,bird
175,deer
176,deer
177,cat
178,deer
179,bird
180,bird
181,deer
182,cat
183,ship
184,airplane
185,airplane
186,airplane
187,bird
188,ship
189,automobile
190,horse
191,deer
192,dog
193,bird
194,bird
195,dog
196,truck
197,horse
198,airplane
199,automobile
200,automobile
201,ship
202,bird
203,airplane
204,cat
205,ship
206,ship
207,deer
208,frog
209,frog
210,frog
211,frog
212,frog
213,deer
214,deer
215,frog
216,airplane
217,bird
218,frog
219,frog
220,automobile
221,frog
222,frog
223,airplane
224,frog
225,dog
226,frog
227,bird
228,horse
229,deer
230,cat
231,cat
232,airplane
233,deer
234,cat
235,ship
236,cat
237,automobile
238,deer
239,airplane
240,airplane
241,dog
242,ship
243,airplane
244,frog
245,cat
246,horse
247,dog
248,frog
249,deer
250,deer
251,cat
252,cat
253,dog
254,airplane
255,dog
256,truck
257,airplane
258,truck
259,ship
260,horse
261,dog
262,frog
263,deer
264,cat
265,frog
266,horse
267,airplane
268,airplane
269,cat
270,frog
271,cat
272,automobile
273,airplane
274,deer
275,frog
276,airplane
277,bird
278,deer
279,cat
280,truck
281,dog
282,cat
283,deer
284,truck
285,cat
286,airplane
287,deer
288,deer
289,frog
290,cat
291,cat
292,automobile
293,cat
294,ship
295,dog
296,ship
297,cat
298,truck
299,deer
300,airplane
301,dog
302,airplane
303,deer
304,bird
305,deer
306,cat
307,bird
308,automobile
309,cat
310,dog
311,ship
312,deer
313,cat
314,airplane
315,ship
316,cat
317,frog
318,automobile
319,dog
320,horse
321,frog
322,deer
323,airplane
324,bird
325,deer
326,bird
327,dog
328,cat
329,deer
330,dog
331,ship
332,truck
333,horse
334,frog
335,ship
336,frog
337,truck
338,automobile
339,deer
340,dog
341,bird
342,frog
343,truck
344,cat
345,automobile
346,deer
347,cat
348,deer
349,ship
350,airplane
351,ship
352,ship
353,dog
354,bird
355,dog
356,dog
357,airplane
358,ship
359,horse
360,deer
361,airplane
362,deer
363,cat
364,ship
365,bird
366,airplane
367,frog
368,deer
369,deer
370,dog
371,frog
372,airplane
373,horse
374,airplane
375,airplane
376,cat
377,bird
378,deer
379,airplane
380,automobile
381,dog
382,bird
383,airplane
384,cat
385,cat
386,airplane
387,airplane
388,automobile
389,truck
390,bird
391,cat
392,horse
393,horse
394,cat
395,truck
396,dog
397,cat
398,deer
399,frog
400,deer
401,horse
402,airplane
403,cat
404,dog
405,bird
406,horse
