id,label
1,deer
10,dog
100,bird
1000,bird
10000,bird
100000,dog
100001,deer
100002,deer
100003,deer
100004,ship
100005,bird
100006,automobile
100007,frog
100008,airplane
100009,truck
10001,dog
100010,horse
100011,dog
100012,truck
100013,airplane
100014,dog
100015,airplane
100016,deer
100017,automobile
100018,truck
100019,cat
10002,bird
100020,frog
100021,horse
100022,ship
100023,automobile
100024,frog
100025,truck
100026,horse
100027,frog
100028,automobile
100029,dog
10003,dog
100030,dog
100031,bird
100032,bird
100033,frog
100034,airplane
100035,deer
100036,cat
100037,horse
100038,dog
100039,airplane
10004,airplane
100040,ship
100041,deer
100042,cat
100043,dog
100044,ship
100045,dog
100046,deer
100047,bird
100048,frog
100049,bird
10005,deer
100050,cat
100051,dog
100052,bird
100053,truck
100054,truck
100055,truck
100056,bird
100057,cat
100058,truck
100059,bird
10006,horse
100060,deer
100061,ship
100062,dog
100063,ship
100064,deer
100065,airplane
100066,airplane
100067,cat
100068,truck
100069,horse
10007,horse
100070,ship
100071,truck
100072,bird
100073,bird
100074,frog
100075,deer
100076,automobile
100077,deer
100078,horse
100079,frog
10008,horse
100080,ship
100081,airplane
100082,dog
100083,truck
100084,cat
100085,truck
100086,automobile
100087,horse
100088,horse
100089,frog
10009,deer
100090,automobile
100091,deer
100092,dog
100093,frog
100094,bird
100095,ship
100096,truck
100097,cat
100098,cat
100099,truck
1001,cat
10010,ship
100100,dog
100101,horse
100102,bird
100103,automobile
100104,ship
100105,cat
100106,dog
100107,cat
100108,deer
100109,horse
10011,dog
100110,bird
100111,automobile
100112,cat
100113,cat
100114,bird
100115,cat
100116,truck
100117,bird
100118,dog
100119,bird
10012,bird
100120,dog
100121,bird
100122,ship
100123,bird
100124,deer
100125,automobile
100126,cat
100127,dog
100128,deer
100129,truck
10013,bird
100130,dog
100131,truck
100132,cat
100133,bird
100134,frog
100135,cat
100136,cat
100137,bird
100138,frog
100139,airplane
10014,bird
100140,airplane
100141,automobile
100142,dog
100143,horse
100144,ship
100145,bird
100146,truck
100147,ship
100148,dog
100149,dog
10015,deer
100150,automobile
100151,cat
100152,deer
100153,bird
100154,truck
100155,deer
100156,ship
100157,horse
100158,cat
100159,ship
10016,deer
100160,airplane
100161,deer
100162,truck
100163,deer
100164,bird
100165,dog
100166,dog
100167,automobile
100168,cat
100169,ship
10017,airplane
100170,frog
100171,cat
100172,truck
100173,truck
100174,airplane
100175,ship
100176,dog
100177,cat
100178,cat
100179,ship
10018,cat
100180,truck
100181,truck
100182,deer
100183,deer
100184,cat
100185,dog
100186,cat
100187,ship
100188,airplane
100189,ship
10019,automobile
100190,deer
100191,frog
100192,ship
100193,bird
100194,frog
100195,frog
100196,cat
100197,cat
100198,deer
100199,bird
1002,airplane
10020,deer
100200,dog
100201,ship
100202,cat
100203,deer
100204,deer
100205,bird
100206,cat
100207,deer
100208,dog
100209,cat
10021,airplane
100210,cat
100211,frog
100212,airplane
100213,bird
100214,frog
100215,frog
100216,ship
100217,truck
100218,deer
100219,ship
10022,airplane
100220,bird
100221,deer
100222,horse
100223,bird
100224,cat
100225,deer
100226,frog
100227,automobile
100228,bird
100229,cat
10023,airplane
100230,dog
100231,cat
100232,deer
100233,frog
100234,airplane
100235,dog
100236,dog
100237,truck
100238,deer
100239,deer
10024,cat
100240,airplane
100241,bird
100242,ship
100243,truck
100244,frog
100245,frog
100246,cat
100247,frog
100248,truck
100249,frog
10025,frog
100250,cat
100251,cat
100252,frog
100253,dog
100254,truck
100255,ship
100256,airplane
100257,airplane
100258,cat
100259,bird
10026,dog
100260,bird
100261,dog
100262,truck
100263,automobile
100264,airplane
100265,frog
100266,ship
100267,airplane
100268,truck
100269,bird
10027,ship
100270,frog
100271,dog
100272,airplane
100273,deer
100274,truck
100275,truck
100276,bird
100277,ship
100278,bird
100279,cat
10028,horse
100280,frog
100281,truck
100282,deer
100283,deer
100284,cat
100285,horse
100286,ship
100287,airplane
100288,truck
100289,bird
10029,cat
100290,cat
100291,truck
100292,truck
100293,airplane
100294,ship
100295,deer
100296,horse
100297,cat
100298,cat
100299,bird
1003,bird
10030,deer
100300,cat
100301,automobile
100302,deer
100303,deer
100304,bird
100305,ship
100306,dog
100307,truck
100308,frog
100309,truck
10031,bird
100310,deer
100311,frog
100312,deer
100313,deer
100314,automobile
100315,truck
100316,frog
100317,deer
100318,automobile
100319,truck
10032,bird
100320,deer
100321,dog
100322,frog
100323,bird
100324,horse
100325,deer
100326,bird
100327,cat
100328,dog
100329,frog
10033,bird
100330,ship
100331,cat
100332,airplane
100333,deer
100334,automobile
100335,automobile
100336,ship
100337,deer
100338,cat
100339,bird
10034,truck
100340,automobile
100341,deer
100342,deer
100343,dog
100344,automobile
100345,bird
100346,bird
100347,bird
100348,bird
100349,cat
10035,cat
100350,deer
100351,frog
100352,deer
100353,frog
100354,deer
100355,airplane
100356,airplane
100357,frog
100358,airplane
100359,ship
10036,bird
100360,truck
100361,truck
100362,deer
100363,horse
100364,deer
100365,horse
100366,horse
100367,bird
100368,automobile
100369,airplane
10037,bird
100370,cat
100371,automobile
100372,horse
100373,ship
100374,cat
100375,bird
100376,automobile
100377,deer
100378,bird
100379,automobile
10038,cat
100380,cat
100381,horse
100382,deer
100383,bird
100384,cat
100385,truck
100386,dog
100387,automobile
100388,automobile
100389,horse
10039,bird
100390,airplane
100391,frog
100392,frog
100393,cat
100394,airplane
100395,deer
100396,bird
100397,ship
100398,dog
100399,deer
1004,cat
10040,frog
100400,airplane
100401,airplane
100402,bird
100403,dog
100404,deer
100405,ship
100406,bird
100407,deer
100408,truck
100409,dog
10041,deer
100410,frog
100411,truck
100412,bird
100413,horse
100414,bird
100415,deer
100416,truck
100417,ship
100418,airplane
100419,automobile
10042,ship
100420,truck
100421,horse
100422,cat
100423,bird
100424,cat
100425,frog
100426,deer
100427,deer
100428,automobile
100429,ship
10043,ship
100430,frog
100431,cat
100432,automobile
100433,truck
100434,ship
100435,airplane
100436,deer
100437,ship
100438,ship
100439,deer
10044,bird
100440,truck
100441,bird
100442,dog
100443,cat
100444,horse
100445,automobile
100446,ship
100447,deer
100448,airplane
100449,truck
10045,automobile
100450,horse
100451,frog
100452,frog
100453,bird
100454,cat
100455,airplane
100456,frog
100457,airplane
100458,deer
100459,bird
10046,bird
100460,ship
100461,dog
100462,deer
100463,dog
100464,truck
100465,dog
100466,bird
100467,horse
100468,cat
100469,frog
10047,deer
100470,bird
100471,ship
100472,automobile
100473,bird
100474,horse
100475,deer
100476,cat
100477,frog
100478,truck
100479,dog
10048,frog
100480,dog
100481,airplane
100482,dog
100483,horse
100484,automobile
100485,dog
100486,horse
100487,deer
100488,frog
100489,bird
10049,automobile
100490,automobile
100491,deer
100492,dog
100493,bird
100494,bird
100495,cat
100496,cat
100497,bird
100498,dog
100499,frog
1005,ship
10050,automobile
100500,bird
100501,bird
100502,ship
100503,bird
100504,bird
100505,cat
100506,truck
100507,cat
100508,ship
100509,airplane
10051,dog
100510,cat
100511,bird
100512,bird
100513,frog
100514,frog
100515,ship
100516,deer
100517,bird
100518,frog
100519,ship
10052,dog
100520,deer
100521,airplane
100522,deer
100523,bird
100524,cat
100525,frog
100526,cat
100527,deer
100528,dog
100529,horse
10053,airplane
100530,cat
100531,ship
100532,ship
100533,bird
100534,frog
100535,truck
100536,dog
100537,airplane
100538,ship
100539,bird
10054,airplane
100540,ship
100541,cat
100542,frog
100543,ship
100544,dog
100545,dog
100546,ship
100547,ship
100548,dog
100549,cat
10055,bird
100550,dog
100551,deer
100552,cat
100553,horse
100554,frog
100555,deer
100556,dog
100557,airplane
100558,horse
100559,automobile
10056,ship
100560,cat
100561,automobile
100562,cat
100563,horse
100564,truck
100565,bird
100566,ship
100567,frog
100568,ship
100569,bird
10057,truck
100570,bird
100571,automobile
100572,dog
100573,cat
100574,automobile
100575,bird
100576,bird
100577,frog
100578,frog
100579,dog
10058,airplane
100580,deer
100581,horse
100582,automobile
100583,deer
100584,ship
100585,dog
100586,frog
100587,airplane
100588,frog
100589,ship
10059,bird
100590,cat
100591,deer
100592,automobile
100593,automobile
100594,automobile
100595,bird
100596,airplane
100597,bird
100598,bird
100599,horse
1006,deer
10060,horse
100600,horse
100601,frog
100602,deer
100603,horse
100604,airplane
100605,airplane
100606,ship
100607,frog
100608,ship
100609,bird
10061,truck
100610,dog
100611,dog
100612,horse
100613,ship
100614,automobile
100615,automobile
100616,deer
100617,truck
100618,truck
100619,frog
10062,automobile
100620,bird
100621,cat
100622,truck
100623,bird
100624,horse
100625,automobile
100626,dog
100627,dog
100628,cat
100629,truck
10063,horse
100630,deer
100631,bird
100632,bird
100633,truck
100634,automobile
100635,dog
100636,deer
100637,truck
100638,horse
100639,cat
10064,cat
100640,truck
100641,deer
100642,cat
100643,cat
100644,bird
100645,cat
100646,frog
100647,dog
100648,bird
100649,ship
10065,ship
100650,ship
100651,cat
100652,ship
100653,cat
100654,dog
100655,bird
100656,airplane
100657,deer
100658,deer
100659,bird
10066,cat
100660,ship
100661,cat
100662,ship
100663,bird
100664,frog
100665,bird
100666,cat
100667,cat
100668,deer
100669,cat
10067,airplane
100670,ship
100671,cat
100672,deer
100673,horse
100674,horse
100675,frog
100676,horse
100677,frog
100678,deer
100679,bird
10068,ship
100680,dog
100681,cat
100682,horse
100683,frog
100684,frog
100685,truck
100686,frog
100687,frog
100688,truck
100689,ship
10069,automobile
100690,deer
100691,deer
100692,truck
100693,cat
100694,dog
100695,frog
100696,dog
100697,ship
100698,cat
100699,frog
1007,ship
10070,frog
100700,dog
100701,dog
100702,airplane
100703,bird
100704,airplane
100705,frog
100706,dog
100707,dog
100708,bird
100709,cat
10071,deer
100710,deer
100711,automobile
100712,cat
100713,bird
100714,truck
100715,cat
100716,dog
100717,truck
100718,deer
100719,deer
10072,airplane
100720,airplane
100721,ship
100722,ship
100723,frog
100724,frog
100725,bird
100726,bird
100727,automobile
100728,frog
100729,cat
10073,dog
100730,airplane
100731,dog
100732,frog
100733,dog
100734,automobile
100735,deer
100736,cat
100737,bird
100738,dog
100739,automobile
10074,cat
100740,dog
100741,dog
100742,bird
100743,bird
100744,bird
100745,ship
100746,bird
100747,truck
100748,automobile
100749,bird
10075,cat
100750,cat
100751,ship
100752,cat
100753,ship
100754,ship
100755,automobile
100756,dog
100757,horse
100758,cat
100759,cat
10076,bird
100760,airplane
100761,bird
100762,deer
100763,bird
100764,cat
100765,cat
100766,truck
100767,truck
100768,deer
100769,cat
10077,bird
100770,cat
100771,automobile
100772,deer
100773,deer
100774,deer
100775,cat
100776,bird
100777,deer
100778,truck
100779,ship
10078,deer
100780,deer
100781,dog
100782,deer
100783,truck
100784,ship
100785,deer
100786,deer
100787,bird
100788,frog
100789,horse
10079,cat
100790,bird
100791,bird
100792,frog
100793,automobile
100794,truck
100795,deer
100796,ship
100797,cat
100798,cat
100799,dog
1008,automobile
10080,automobile
100800,ship
100801,frog
100802,bird
100803,deer
100804,bird
100805,frog
100806,horse
100807,deer
100808,dog
100809,frog
10081,automobile
100810,dog
100811,ship
100812,airplane
100813,airplane
100814,frog
100815,deer
100816,frog
100817,dog
100818,automobile
100819,bird
10082,bird
100820,dog
100821,airplane
100822,automobile
100823,cat
100824,deer
100825,horse
100826,frog
100827,cat
100828,dog
100829,dog
10083,horse
100830,horse
100831,cat
100832,frog
100833,cat
100834,dog
100835,truck
100836,ship
100837,dog
100838,airplane
100839,ship
10084,cat
100840,truck
100841,deer
100842,bird
100843,horse
100844,dog
100845,frog
100846,airplane
100847,frog
100848,frog
100849,bird
10085,ship
100850,frog
100851,cat
100852,bird
100853,dog
100854,truck
100855,frog
100856,bird
100857,bird
100858,ship
100859,cat
10086,cat
100860,bird
100861,deer
100862,bird
100863,deer
100864,ship
100865,cat
100866,airplane
100867,deer
100868,horse
100869,truck
10087,ship
100870,automobile
100871,horse
100872,horse
100873,cat
100874,airplane
100875,dog
100876,dog
100877,automobile
100878,cat
100879,truck
10088,bird
100880,airplane
100881,cat
100882,automobile
100883,truck
100884,frog
100885,dog
100886,deer
100887,cat
100888,ship
100889,automobile
10089,ship
100890,deer
100891,cat
100892,bird
100893,ship
100894,frog
100895,deer
100896,frog
100897,truck
100898,bird
100899,truck
1009,automobile
10090,dog
100900,ship
100901,cat
100902,cat
100903,cat
100904,bird
100905,cat
100906,deer
100907,truck
100908,cat
100909,bird
10091,deer
100910,airplane
100911,frog
100912,truck
100913,automobile
100914,dog
100915,dog
100916,cat
100917,truck
100918,airplane
100919,dog
10092,deer
100920,horse
100921,horse
100922,ship
100923,cat
100924,bird
100925,cat
100926,airplane
100927,cat
100928,deer
100929,ship
10093,cat
100930,bird
100931,cat
100932,automobile
100933,bird
100934,airplane
100935,ship
100936,horse
100937,ship
100938,automobile
100939,horse
10094,cat
100940,horse
100941,automobile
100942,horse
100943,automobile
100944,automobile
100945,automobile
100946,cat
100947,cat
100948,deer
100949,deer
10095,bird
100950,airplane
100951,automobile
100952,automobile
100953,horse
100954,airplane
100955,bird
100956,frog
100957,horse
100958,frog
100959,frog
10096,deer
100960,dog
100961,frog
100962,bird
100963,truck
100964,bird
100965,airplane
100966,cat
100967,deer
100968,automobile
100969,horse
10097,cat
100970,ship
100971,ship
100972,bird
100973,bird
100974,bird
100975,cat
100976,ship
100977,frog
100978,airplane
100979,automobile
10098,airplane
100980,truck
100981,airplane
100982,cat
100983,cat
100984,horse
100985,automobile
100986,deer
100987,automobile
100988,bird
100989,horse
10099,bird
100990,deer
100991,ship
100992,automobile
100993,bird
100994,automobile
100995,truck
100996,bird
100997,dog
100998,deer
100999,airplane
101,deer
1010,cat
10100,deer
101000,cat
101001,bird
101002,truck
101003,automobile
101004,cat
101005,deer
101006,automobile
101007,cat
101008,bird
101009,bird
10101,dog
101010,ship
101011,deer
101012,horse
101013,bird
101014,horse
101015,bird
101016,ship
101017,truck
101018,frog
101019,airplane
10102,truck
101020,frog
101021,truck
101022,truck
101023,cat
101024,airplane
101025,horse
101026,horse
101027,airplane
101028,dog
101029,ship
10103,deer
101030,cat
101031,airplane
101032,deer
101033,bird
101034,bird
101035,truck
101036,bird
101037,deer
101038,bird
101039,airplane
10104,bird
101040,frog
101041,truck
101042,horse
101043,automobile
101044,horse
101045,automobile
101046,cat
101047,truck
101048,horse
101049,cat
10105,cat
101050,bird
101051,cat
101052,frog
101053,bird
101054,dog
101055,deer
101056,bird
101057,bird
101058,dog
101059,bird
10106,deer
101060,truck
101061,frog
101062,cat
101063,airplane
101064,deer
101065,deer
101066,horse
101067,deer
101068,ship
101069,airplane
10107,truck
101070,bird
101071,cat
101072,truck
101073,frog
101074,frog
101075,truck
101076,airplane
101077,automobile
101078,frog
101079,horse
10108,automobile
101080,dog
101081,frog
101082,deer
101083,truck
101084,cat
101085,bird
101086,cat
101087,frog
101088,cat
101089,frog
10109,cat
101090,cat
101091,ship
101092,dog
101093,bird
101094,bird
101095,frog
101096,dog
101097,cat
101098,dog
101099,ship
1011,cat
10110,dog
101100,automobile
101101,airplane
101102,cat
101103,dog
101104,horse
101105,deer
101106,cat
101107,cat
101108,dog
101109,ship
10111,horse
101110,frog
101111,bird
101112,frog
101113,dog
101114,cat
101115,horse
101116,deer
101117,deer
101118,bird
101119,bird
10112,ship
101120,truck
101121,dog
101122,bird
101123,bird
101124,cat
101125,cat
101126,bird
101127,automobile
101128,deer
101129,bird
10113,bird
101130,bird
101131,cat
101132,dog
101133,bird
101134,frog
101135,bird
101136,truck
101137,truck
101138,cat
101139,deer
10114,horse
101140,airplane
101141,cat
101142,deer
101143,horse
101144,dog
101145,ship
101146,dog
101147,cat
101148,deer
101149,deer
10115,deer
101150,dog
101151,cat
101152,airplane
101153,deer
101154,automobile
101155,bird
101156,deer
101157,bird
101158,truck
101159,deer
10116,bird
101160,dog
101161,deer
101162,ship
101163,ship
101164,bird
101165,dog
101166,bird
101167,ship
101168,truck
101169,cat
10117,frog
101170,bird
101171,truck
101172,automobile
101173,deer
101174,frog
101175,ship
101176,cat
101177,bird
101178,truck
101179,dog
10118,cat
101180,ship
101181,dog
101182,dog
101183,horse
101184,deer
101185,cat
101186,ship
101187,automobile
101188,cat
101189,bird
10119,ship
101190,truck
101191,cat
101192,deer
101193,cat
101194,ship
101195,bird
101196,dog
101197,airplane
101198,deer
101199,dog
1012,deer
10120,bird
101200,truck
101201,cat
101202,ship
101203,cat
101204,bird
101205,frog
101206,horse
101207,bird
101208,airplane
101209,dog
10121,ship
101210,cat
101211,ship
101212,truck
101213,automobile
101214,bird
101215,dog
101216,automobile
101217,truck
101218,bird
101219,cat
10122,frog
101220,deer
101221,airplane
101222,frog
101223,deer
101224,airplane
101225,ship
101226,deer
101227,airplane
101228,bird
101229,deer
10123,airplane
101230,cat
101231,automobile
101232,truck
101233,bird
101234,automobile
101235,frog
101236,deer
101237,frog
101238,cat
101239,bird
10124,bird
101240,deer
101241,dog
101242,deer
101243,horse
101244,dog
101245,frog
101246,dog
101247,dog
101248,cat
101249,deer
10125,bird
101250,dog
101251,cat
101252,deer
101253,dog
101254,ship
101255,airplane
101256,automobile
101257,deer
101258,airplane
101259,dog
10126,horse
101260,deer
101261,airplane
101262,frog
101263,cat
101264,dog
101265,frog
101266,dog
101267,frog
101268,horse
101269,deer
10127,horse
101270,dog
101271,deer
101272,deer
101273,dog
101274,deer
101275,bird
101276,deer
101277,cat
101278,cat
101279,cat
10128,bird
101280,airplane
101281,bird
101282,deer
101283,frog
101284,airplane
101285,truck
101286,bird
101287,bird
101288,dog
101289,bird
10129,automobile
101290,cat
101291,truck
101292,bird
101293,horse
101294,bird
101295,deer
101296,dog
101297,dog
101298,horse
101299,dog
1013,truck
10130,deer
101300,dog
101301,frog
101302,frog
101303,bird
101304,ship
101305,cat
101306,ship
101307,bird
101308,deer
101309,bird
10131,cat
101310,bird
101311,truck
101312,frog
101313,ship
101314,ship
101315,horse
101316,bird
101317,horse
101318,automobile
101319,deer
10132,ship
101320,ship
101321,deer
101322,airplane
101323,deer
101324,cat
101325,airplane
101326,deer
101327,deer
101328,ship
101329,frog
10133,frog
101330,ship
101331,automobile
101332,dog
101333,cat
101334,bird
101335,ship
101336,bird
101337,deer
101338,bird
101339,cat
10134,deer
101340,automobile
101341,deer
101342,horse
101343,cat
101344,cat
101345,automobile
101346,dog
101347,airplane
101348,ship
101349,bird
10135,bird
101350,bird
101351,truck
101352,dog
101353,dog
101354,deer
101355,automobile
101356,bird
101357,airplane
101358,truck
101359,deer
10136,bird
101360,dog
101361,dog
101362,deer
101363,dog
101364,cat
101365,cat
101366,truck
101367,frog
101368,cat
101369,airplane
10137,deer
101370,cat
101371,ship
101372,dog
101373,deer
101374,deer
101375,ship
101376,truck
101377,airplane
101378,ship
101379,frog
10138,truck
101380,cat
101381,bird
101382,ship
101383,cat
101384,deer
101385,cat
101386,bird
101387,deer
101388,bird
101389,airplane
10139,truck
101390,bird
101391,automobile
101392,deer
101393,truck
101394,truck
101395,cat
101396,horse
101397,ship
101398,deer
101399,dog
1014,airplane
10140,bird
101400,cat
101401,dog
101402,cat
101403,frog
101404,cat
101405,deer
101406,dog
101407,ship
101408,horse
101409,bird
10141,automobile
101410,ship
101411,frog
101412,airplane
101413,frog
101414,dog
101415,frog
101416,airplane
101417,bird
101418,horse
101419,ship
10142,horse
101420,ship
101421,dog
101422,cat
101423,deer
101424,truck
101425,deer
101426,bird
101427,cat
101428,bird
101429,bird
10143,bird
101430,airplane
101431,frog
101432,dog
101433,ship
101434,cat
101435,truck
101436,deer
101437,frog
101438,ship
101439,bird
10144,automobile
101440,automobile
101441,dog
101442,deer
101443,ship
101444,frog
101445,deer
101446,truck
101447,ship
101448,ship
101449,ship
10145,frog
101450,cat
101451,dog
101452,dog
101453,bird
101454,frog
101455,horse
101456,automobile
101457,ship
101458,ship
101459,cat
10146,cat
101460,automobile
101461,dog
101462,ship
101463,automobile
101464,airplane
101465,horse
101466,dog
101467,horse
101468,deer
101469,dog
10147,cat
101470,deer
101471,deer
101472,deer
101473,ship
101474,deer
101475,cat
101476,ship
101477,ship
101478,bird
101479,cat
10148,dog
101480,deer
101481,ship
101482,ship
101483,deer
101484,horse
101485,cat
101486,deer
101487,ship
101488,horse
101489,horse
10149,horse
101490,deer
101491,ship
101492,dog
101493,deer
101494,dog
101495,dog
101496,cat
101497,horse
101498,bird
101499,cat
1015,frog
10150,frog
101500,deer
101501,ship
101502,dog
101503,cat
101504,airplane
101505,automobile
101506,deer
101507,bird
101508,automobile
101509,dog
10151,deer
101510,bird
101511,frog
101512,truck
101513,dog
101514,dog
101515,bird
101516,horse
101517,horse
101518,cat
101519,frog
10152,truck
101520,ship
101521,bird
101522,airplane
101523,ship
101524,horse
101525,automobile
101526,deer
101527,frog
101528,dog
101529,cat
10153,automobile
101530,deer
101531,deer
101532,bird
101533,truck
101534,bird
101535,automobile
101536,frog
101537,cat
101538,automobile
101539,deer
10154,airplane
101540,dog
101541,truck
101542,truck
101543,airplane
101544,airplane
101545,automobile
101546,automobile
101547,dog
101548,dog
101549,truck
10155,deer
101550,dog
101551,frog
101552,frog
101553,dog
101554,ship
101555,deer
101556,bird
101557,deer
101558,horse
101559,airplane
10156,dog
101560,truck
101561,frog
101562,deer
101563,ship
101564,cat
101565,automobile
101566,frog
101567,dog
101568,automobile
101569,ship
10157,airplane
101570,dog
101571,bird
101572,deer
101573,bird
101574,airplane
101575,dog
101576,cat
101577,cat
101578,bird
101579,deer
10158,airplane
101580,truck
101581,dog
101582,deer
101583,frog
101584,airplane
101585,frog
101586,dog
101587,frog
101588,bird
101589,cat
10159,bird
101590,truck
101591,horse
101592,airplane
101593,ship
101594,horse
101595,cat
101596,frog
101597,cat
101598,cat
101599,deer
1016,horse
10160,deer
101600,cat
101601,truck
101602,bird
101603,cat
101604,frog
101605,cat
101606,ship
101607,deer
101608,cat
101609,frog
10161,bird
101610,airplane
101611,frog
101612,ship
101613,ship
101614,dog
101615,ship
101616,frog
101617,ship
101618,horse
101619,bird
10162,dog
101620,dog
101621,truck
101622,deer
101623,cat
101624,frog
101625,airplane
101626,frog
101627,dog
101628,ship
101629,truck
10163,truck
101630,ship
101631,airplane
101632,bird
101633,horse
101634,airplane
101635,automobile
101636,horse
101637,bird
101638,bird
101639,bird
10164,frog
101640,deer
101641,horse
101642,automobile
101643,bird
101644,cat
101645,automobile
101646,horse
101647,automobile
101648,ship
101649,deer
10165,bird
101650,automobile
101651,horse
101652,deer
101653,cat
101654,truck
101655,automobile
101656,ship
101657,dog
101658,bird
101659,dog
10166,bird
101660,automobile
101661,bird
101662,cat
101663,cat
101664,dog
101665,deer
101666,frog
101667,truck
101668,dog
101669,frog
10167,deer
101670,deer
101671,frog
101672,ship
101673,deer
101674,cat
101675,truck
101676,deer
101677,deer
101678,bird
101679,bird
10168,ship
101680,cat
101681,cat
101682,ship
101683,automobile
101684,ship
101685,ship
101686,bird
101687,frog
101688,horse
101689,automobile
10169,deer
101690,automobile
101691,frog
101692,deer
101693,airplane
101694,automobile
101695,truck
101696,frog
101697,deer
101698,bird
101699,deer
1017,automobile
10170,cat
101700,dog
101701,deer
101702,automobile
101703,frog
101704,bird
101705,bird
101706,bird
101707,ship
101708,dog
101709,automobile
10171,deer
101710,bird
101711,ship
101712,ship
101713,truck
101714,horse
101715,dog
101716,horse
101717,frog
101718,bird
101719,horse
10172,deer
101720,bird
101721,dog
101722,cat
101723,dog
101724,dog
101725,deer
101726,airplane
101727,cat
101728,frog
101729,automobile
10173,frog
101730,airplane
101731,cat
101732,bird
101733,ship
101734,dog
101735,dog
101736,automobile
101737,automobile
101738,frog
101739,bird
10174,deer
101740,truck
101741,horse
101742,airplane
101743,dog
101744,frog
101745,ship
101746,automobile
101747,bird
101748,cat
101749,automobile
10175,deer
101750,dog
101751,frog
101752,cat
101753,cat
101754,bird
101755,deer
101756,airplane
101757,bird
101758,ship
101759,dog
10176,frog
101760,dog
101761,cat
101762,automobile
101763,horse
101764,truck
101765,horse
101766,truck
101767,deer
101768,ship
101769,dog
10177,dog
101770,cat
101771,deer
101772,deer
101773,automobile
101774,deer
101775,airplane
101776,cat
101777,frog
101778,airplane
101779,ship
10178,deer
101780,airplane
101781,bird
101782,ship
101783,automobile
101784,cat
101785,bird
101786,ship
101787,automobile
101788,truck
101789,deer
10179,dog
101790,frog
101791,dog
101792,truck
101793,horse
101794,cat
101795,frog
101796,deer
101797,cat
101798,horse
101799,horse
1018,bird
10180,automobile
101800,ship
101801,bird
101802,airplane
101803,deer
101804,frog
101805,deer
101806,dog
101807,truck
101808,ship
101809,frog
10181,frog
101810,truck
101811,deer
101812,automobile
101813,cat
101814,frog
101815,dog
101816,frog
101817,cat
101818,airplane
101819,cat
10182,deer
101820,cat
101821,ship
101822,deer
101823,frog
101824,airplane
101825,horse
101826,frog
101827,bird
101828,bird
101829,dog
10183,bird
101830,dog
101831,bird
101832,automobile
101833,airplane
101834,airplane
101835,dog
101836,ship
101837,frog
101838,cat
101839,horse
10184,bird
101840,dog
101841,truck
101842,truck
101843,deer
101844,cat
101845,frog
101846,ship
101847,truck
101848,truck
101849,ship
10185,ship
101850,cat
101851,frog
101852,horse
101853,dog
101854,cat
101855,deer
101856,deer
101857,airplane
101858,bird
101859,cat
10186,automobile
101860,frog
101861,bird
101862,deer
101863,airplane
101864,bird
101865,cat
101866,truck
101867,dog
101868,bird
101869,deer
10187,truck
101870,deer
101871,frog
101872,frog
101873,frog
101874,deer
101875,ship
101876,airplane
101877,dog
101878,airplane
101879,bird
10188,airplane
101880,dog
101881,cat
101882,deer
101883,cat
101884,cat
101885,bird
101886,airplane
101887,truck
101888,dog
101889,cat
10189,dog
101890,bird
101891,airplane
101892,ship
101893,automobile
101894,automobile
101895,frog
101896,deer
101897,frog
101898,cat
101899,frog
1019,dog
